instrument,strategy,fast_tf,bar_start_ist,crossing_side,result,engine,reference
GOLDM,gold_01,5m,2026-08-24 10:30:00,LONG,MATCH,pC=161915.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=162042.75590274858,pC=161915.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=162042.75590274858
GOLDM,gold_01,5m,2026-08-24 11:15:00,LONG,MATCH,pC=161886.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=162042.75590274858,pC=161886.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=162042.75590274858
GOLDM,gold_01,5m,2026-08-24 13:45:00,SHORT,MATCH,pC=162012.0|pH=161935.0|h=161935.0|pM=162082.4197921992|m=162082.4197921992|f=162136.29325042965,pC=162012.0|pH=161935.0|h=161935.0|pM=162082.4197921992|m=162082.4197921992|f=162136.29325042965
GOLDM,gold_01,5m,2026-08-24 21:15:00,SHORT,MATCH,pC=162928.0|pH=162663.50228925093|h=162663.50228925093|pM=162970.0395116458|m=162970.0395116458|f=162738.14659617475,pC=162928.0|pH=162663.50228925093|h=162663.50228925093|pM=162970.0395116458|m=162970.0395116458|f=162738.14659617475
GOLDM,gold_01,5m,2026-08-24 21:35:00,SHORT,MATCH,pC=162721.0|pH=162663.50228925093|h=162663.50228925093|pM=162914.4932633848|m=162914.4932633848|f=162634.63120062806,pC=162721.0|pH=162663.50228925093|h=162663.50228925093|pM=162914.4932633848|m=162914.4932633848|f=162634.63120062806
GOLDM,gold_01,5m,2026-08-24 22:15:00,SHORT,MATCH,pC=162735.0|pH=162663.50228925093|h=162663.50228925093|pM=162914.4932633848|m=162914.4932633848|f=162634.63120062806,pC=162735.0|pH=162663.50228925093|h=162663.50228925093|pM=162914.4932633848|m=162914.4932633848|f=162634.63120062806
GOLDM,gold_01,5m,2026-08-25 11:50:00,LONG,MATCH,pC=162215.0|pH=162394.12799929726|h=162394.12799929726|pM=161934.75579641448|m=161934.75579641448|f=162198.44933613596,pC=162215.0|pH=162394.12799929726|h=162394.12799929726|pM=161934.75579641448|m=161934.75579641448|f=162198.44933613596
GOLDM,gold_01,5m,2026-08-25 21:00:00,LONG,MATCH,pC=161650.0|pH=161684.22209637234|h=161684.22209637234|pM=161201.97823303455|m=161201.97823303455|f=161681.6866385713,pC=161650.0|pH=161684.22209637234|h=161684.22209637234|pM=161201.97823303455|m=161201.97823303455|f=161681.6866385713
GOLDM,gold_01,5m,2026-08-25 22:00:00,SHORT,MATCH,pC=161783.0|pH=161684.22209637234|h=161684.22209637234|pM=161719.55538965508|m=161719.55538965508|f=161846.4943227162,pC=161783.0|pH=161684.22209637234|h=161684.22209637234|pM=161719.55538965508|m=161719.55538965508|f=161846.4943227162
GOLDM,gold_01,5m,2026-08-25 22:35:00,SHORT,MATCH,pC=161690.0|pH=161684.22209637234|h=161684.22209637234|pM=161719.55538965508|m=161719.55538965508|f=161721.158593585,pC=161690.0|pH=161684.22209637234|h=161684.22209637234|pM=161719.55538965508|m=161719.55538965508|f=161721.158593585
