instrument,timeframe,bucket_end_ist,DEMA_LIVE,DEMA_REFERENCE,DEMA_DIFF,ATR_LIVE,ATR_REFERENCE,pass
GOLDM,15m,2026-08-24 09:15:00,161847.0,161847.0,0.0,,,PASS
GOLDM,15m,2026-08-24 09:30:00,161847.0,161847.0,0.0,,,PASS
GOLDM,15m,2026-08-24 09:45:00,161847.0,161847.0,0.0,,,PASS
GOLDM,15m,2026-08-24 10:00:00,161847.0,161847.0,0.0,,,PASS
GOLDM,15m,2026-08-24 10:15:00,161847.0,161847.0,0.0,,,PASS
GOLDM,15m,2026-08-24 10:30:00,161847.0,161847.0,0.0,679.1667,679.1667,PASS
GOLDM,15m,2026-08-24 10:45:00,161847.0,161847.0,0.0,591.4722,591.4722,PASS
GOLDM,15m,2026-08-24 11:00:00,161847.0,161847.0,0.0,526.2269,526.2269,PASS
GOLDM,15m,2026-08-24 11:15:00,161847.0,161847.0,0.0,489.689,489.689,PASS
GOLDM,15m,2026-08-24 11:30:00,161847.0,161847.0,0.0,449.5742,449.5742,PASS
GOLDM,15m,2026-08-24 11:45:00,161878.2552,161878.2552,0.0,458.6452,458.6452,PASS
GOLDM,15m,2026-08-24 12:00:00,161878.2552,161878.2552,0.0,443.371,443.371,PASS
GOLDM,15m,2026-08-24 12:15:00,161887.2344,161887.2344,0.0,419.4758,419.4758,PASS
GOLDM,15m,2026-08-24 12:30:00,162057.309,162057.309,0.0,383.7298,383.7298,PASS
GOLDM,15m,2026-08-24 12:45:00,162082.4198,162082.4198,0.0,347.4415,347.4415,PASS
GOLDM,15m,2026-08-24 13:00:00,162082.4198,162082.4198,0.0,317.7013,317.7013,PASS
GOLDM,15m,2026-08-24 13:15:00,162082.4198,162082.4198,0.0,328.9177,328.9177,PASS
GOLDM,15m,2026-08-24 13:30:00,162082.4198,162082.4198,0.0,334.2648,334.2648,PASS
GOLDM,15m,2026-08-24 13:45:00,162082.4198,162082.4198,0.0,339.7206,339.7206,PASS
GOLDM,15m,2026-08-24 14:00:00,162082.4198,162082.4198,0.0,324.7672,324.7672,PASS
GOLDM,15m,2026-08-24 14:15:00,162082.4198,162082.4198,0.0,334.806,334.806,PASS
GOLDM,15m,2026-08-24 14:30:00,162082.4198,162082.4198,0.0,308.1717,308.1717,PASS
GOLDM,15m,2026-08-24 14:45:00,162082.4198,162082.4198,0.0,283.4764,283.4764,PASS
GOLDM,15m,2026-08-24 15:00:00,162082.4198,162082.4198,0.0,261.397,261.397,PASS
GOLDM,15m,2026-08-24 15:15:00,162082.4198,162082.4198,0.0,241.9975,241.9975,PASS
GOLDM,15m,2026-08-24 15:30:00,162082.4198,162082.4198,0.0,235.8312,235.8312,PASS
GOLDM,15m,2026-08-24 15:45:00,162104.0415,162104.0415,0.0,215.3594,215.3594,PASS
GOLDM,15m,2026-08-24 16:00:00,162104.0415,162104.0415,0.0,210.2995,210.2995,PASS
GOLDM,15m,2026-08-24 16:15:00,162104.0415,162104.0415,0.0,201.0829,201.0829,PASS
GOLDM,15m,2026-08-24 16:30:00,162104.0415,162104.0415,0.0,192.2357,192.2357,PASS
GOLDM,15m,2026-08-24 16:45:00,162104.0415,162104.0415,0.0,188.6965,188.6965,PASS
GOLDM,15m,2026-08-24 17:00:00,162104.0415,162104.0415,0.0,180.0804,180.0804,PASS
GOLDM,15m,2026-08-24 17:15:00,162290.7417,162290.7417,0.0,237.567,237.567,PASS
GOLDM,15m,2026-08-24 17:30:00,162308.2279,162308.2279,0.0,243.3058,243.3058,PASS
GOLDM,15m,2026-08-24 17:45:00,162351.285,162351.285,0.0,236.9215,236.9215,PASS
GOLDM,15m,2026-08-24 18:00:00,162454.1385,162454.1385,0.0,231.4346,231.4346,PASS
GOLDM,15m,2026-08-24 18:15:00,162461.076,162461.076,0.0,260.6955,260.6955,PASS
GOLDM,15m,2026-08-24 18:30:00,162540.2986,162540.2986,0.0,258.5796,258.5796,PASS
GOLDM,15m,2026-08-24 18:45:00,162877.119,162877.119,0.0,314.3163,314.3163,PASS
GOLDM,15m,2026-08-24 19:00:00,162939.5355,162939.5355,0.0,307.4303,307.4303,PASS
GOLDM,15m,2026-08-24 19:15:00,162939.5355,162939.5355,0.0,325.5252,325.5252,PASS
GOLDM,15m,2026-08-24 19:30:00,162939.5355,162939.5355,0.0,351.9377,351.9377,PASS
GOLDM,15m,2026-08-24 19:45:00,162939.5355,162939.5355,0.0,339.7814,339.7814,PASS
GOLDM,15m,2026-08-24 20:00:00,162939.5355,162939.5355,0.0,348.6512,348.6512,PASS
GOLDM,15m,2026-08-24 20:15:00,162939.5355,162939.5355,0.0,328.5426,328.5426,PASS
GOLDM,15m,2026-08-24 20:30:00,162939.5355,162939.5355,0.0,335.9522,335.9522,PASS
GOLDM,15m,2026-08-24 20:45:00,162939.5355,162939.5355,0.0,315.4602,315.4602,PASS
GOLDM,15m,2026-08-24 21:00:00,162970.0395,162970.0395,0.0,292.5501,292.5501,PASS
