instrument,bucket_start,strategy,event_type,strategy_id,side,trigger,stop,price,reason,exit_price
SILVERM,2026-08-24 09:15,silver_01,PENDING_ENTRY_CREATED,silver_01,SHORT,254045.0,255500.0,,,
SILVERM,2026-08-24 09:30,silver_01,ENTRY_EXECUTED,silver_01,SHORT,,255500.0,254045.0,,
SILVERM,2026-08-24 11:30,silver_01,POSITION_CLOSED,silver_01,,,,,stop_loss_hit,255499.0
SILVERM,2026-08-24 14:45,silver_01,PENDING_ENTRY_CREATED,silver_01,SHORT,254206.0,254890.0,,,
SILVERM,2026-08-24 15:00,silver_01,ENTRY_EXECUTED,silver_01,SHORT,,254890.0,254206.0,,
SILVERM,2026-08-24 15:30,silver_01,POSITION_CLOSED,silver_01,,,,,stop_loss_hit,255058.0
SILVERM,2026-08-24 19:00,silver_01,PENDING_ENTRY_CREATED,silver_01,SHORT,255397.0,257350.0,,,
SILVERM,2026-08-24 19:15,silver_01,ENTRY_EXECUTED,silver_01,SHORT,,257350.0,255397.0,,
GOLDM,2026-08-24 21:15,gold_02,PENDING_ENTRY_CREATED,gold_02,SHORT,162131.0,163299.0,,,
GOLDM,2026-08-24 22:15,gold_02,PENDING_ENTRY_CREATED,gold_02,SHORT,162300.0,162840.0,,,
GOLDM,2026-08-24 22:30,gold_02,ENTRY_EXECUTED,gold_02,SHORT,,162840.0,162300.0,,
SILVERM,2026-08-25 20:45,silver_01,POSITION_CLOSED,silver_01,,,,,long_reversal,252034.0
SILVERM,2026-08-25 20:45,silver_01,REVERSAL_SIGNAL,silver_01,LONG,252149.0,251000.0,,,
GOLDM,2026-08-25 21:00,gold_02,POSITION_CLOSED,gold_02,,,,,long_reversal,162157.0
GOLDM,2026-08-25 21:00,gold_02,REVERSAL_SIGNAL,gold_02,LONG,162262.0,161207.0,,,
SILVERM,2026-08-25 21:00,silver_01,ENTRY_EXECUTED,silver_01,LONG,,251000.0,252149.0,,
GOLDM,2026-08-25 22:30,gold_02,PENDING_ENTRY_CREATED,gold_02,SHORT,161449.0,161900.0,,,
GOLDM,2026-08-25 22:45,gold_02,ENTRY_EXECUTED,gold_02,SHORT,,161900.0,161449.0,,
GOLDM,2026-08-26 09:00,gold_02,POSITION_CLOSED,gold_02,,,,,stop_loss_hit,161771.0
SILVERM,2026-08-26 11:45,silver_01,POSITION_CLOSED,silver_01,,,,,short_reversal,253116.0
SILVERM,2026-08-26 11:45,silver_01,REVERSAL_SIGNAL,silver_01,SHORT,253025.0,254624.0,,,
SILVERM,2026-08-26 12:00,silver_01,ENTRY_EXECUTED,silver_01,SHORT,,254624.0,253025.0,,
GOLDM,2026-08-26 17:45,gold_02,PENDING_ENTRY_CREATED,gold_02,LONG,161490.0,161195.0,,,
SILVERM,2026-08-26 17:45,silver_01,POSITION_CLOSED,silver_01,,,,,long_reversal,253499.0
SILVERM,2026-08-26 17:45,silver_01,REVERSAL_SIGNAL,silver_01,LONG,253500.0,252521.0,,,
GOLDM,2026-08-26 18:00,gold_02,ENTRY_EXECUTED,gold_02,LONG,,161195.0,161490.0,,
SILVERM,2026-08-26 18:00,silver_01,ENTRY_EXECUTED,silver_01,LONG,,252521.0,253500.0,,
SILVERM,2026-08-27 10:15,silver_01,PENDING_ENTRY_CREATED,silver_01,LONG,249750.0,246300.0,,,
SILVERM,2026-08-27 10:30,silver_01,ENTRY_EXECUTED,silver_01,LONG,,246300.0,249750.0,,
GOLDM,2026-08-27 21:00,gold_02,PENDING_ENTRY_CREATED,gold_02,LONG,158451.0,157325.0,,,
GOLDM,2026-08-27 21:15,gold_02,ENTRY_EXECUTED,gold_02,LONG,,157325.0,158451.0,,
GOLDM,2026-08-27 22:45,gold_02,POSITION_CLOSED,gold_02,,,,,short_reversal,158180.0
GOLDM,2026-08-27 22:45,gold_02,REVERSAL_SIGNAL,gold_02,SHORT,158005.0,158529.0,,,
GOLDM,2026-08-27 23:15,gold_02,PENDING_ENTRY_CREATED,gold_02,SHORT,158074.0,158469.0,,,
GOLDM,2026-08-28 09:00,gold_02,ENTRY_EXECUTED,gold_02,SHORT,,158469.0,158074.0,,
GOLDM,2026-08-28 12:15,gold_02,POSITION_CLOSED,gold_02,,,,,long_reversal,158314.0
GOLDM,2026-08-28 12:15,gold_02,REVERSAL_SIGNAL,gold_02,LONG,158400.0,157550.0,,,
GOLDM,2026-08-28 12:45,gold_02,ENTRY_TRIGGERED,gold_02,LONG,,157550.0,158450.0,,
GOLDM,2026-08-28 19:30,gold_02,POSITION_CLOSED,gold_02,,,,,short_reversal,158351.0
GOLDM,2026-08-28 19:30,gold_02,REVERSAL_SIGNAL,gold_02,SHORT,158014.0,159706.0,,,
SILVERM,2026-08-28 19:30,silver_01,POSITION_CLOSED,silver_01,,,,,short_reversal,250111.0
SILVERM,2026-08-28 19:30,silver_01,REVERSAL_SIGNAL,silver_01,SHORT,250010.0,254450.0,,,
GOLDM,2026-08-28 19:45,gold_02,ENTRY_TRIGGERED,gold_02,SHORT,,159706.0,157865.0,,
SILVERM,2026-08-28 19:45,silver_01,ENTRY_TRIGGERED,silver_01,SHORT,,254450.0,249341.0,,
