instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
GOLDM,2026-08-24 09:00,160519.0,162232.0,159458.0,161847.0,160951.8856002278,160237.04090400424,159943.4629252026,160951.8856002278,,160237.04090400424,161847.0,1,,flat,,,,,[]
SILVERM,2026-08-24 09:00,254808.0,255500.0,253739.0,254920.0,255230.5330120665,254260.63519557446,254260.63519557446,255230.5330120665,,254260.63519557446,254920.0,1,,flat,,,,,[]
GOLDM,2026-08-24 09:15,161830.0,162036.0,161821.0,161842.0,161253.3191544964,160237.04090400424,159943.4629252026,161253.3191544964,160237.04090400424,160237.04090400424,161842.0,2,161847.0,flat,,,,,[]
SILVERM,2026-08-24 09:15,254860.0,254926.0,254045.0,254050.0,255007.4239650102,254260.63519557446,254260.63519557446,255007.4239650102,254260.63519557446,254260.63519557446,254050.0,2,254920.0,pending_short,,SHORT,254045.0,,"[""PENDING_ENTRY_CREATED:SHORT::""]"
GOLDM,2026-08-24 09:30,161845.0,161894.0,161556.0,161752.0,161283.3841074477,160237.04090400424,159943.4629252026,161283.3841074477,160237.04090400424,160237.04090400424,161752.0,3,161842.0,flat,,,,,[]
SILVERM,2026-08-24 09:30,253900.0,254399.0,253794.0,254200.0,254872.573783457,254260.63519557446,254260.63519557446,254872.573783457,254260.63519557446,254260.63519557446,254200.0,3,254050.0,short_position,SHORT,,,255500.0,"[""ENTRY_EXECUTED:SHORT:254045.0:""]"
GOLDM,2026-08-24 09:45,161763.0,161970.0,161643.0,161935.0,161434.04294633048,160729.31845672464,160237.04090400424,161434.04294633048,160237.04090400424,160729.31845672464,161935.0,4,161752.0,flat,,,,,[]
SILVERM,2026-08-24 09:45,254132.0,254743.0,253873.0,254565.0,254872.573783457,254260.63519557446,254260.63519557446,254872.573783457,254260.63519557446,254260.63519557446,254565.0,4,254200.0,short_position,SHORT,,,255500.0,[]
GOLDM,2026-08-24 10:00,161935.0,161950.0,161717.0,161871.0,161457.81244239092,160729.31845672464,160237.04090400424,161457.81244239092,160729.31845672464,160729.31845672464,161871.0,5,161935.0,flat,,,,,[]
SILVERM,2026-08-24 10:00,254632.0,254632.0,254149.0,254488.0,254872.573783457,254260.63519557446,254260.63519557446,254872.573783457,254260.63519557446,254260.63519557446,254488.0,5,254565.0,short_position,SHORT,,,255500.0,[]
