strategy,instrument,side,entry_time,entry_price,exit_time,exit_price,exit_reason,gross,fees,slippage_cost,net
silver_01,SILVERM,LONG,2026-08-30 20:02,249371.0,2026-08-30 20:02,250132.0,short_reversal,3805.0,251.84,,3553.16
gold_02,GOLDM,LONG,2026-08-30 20:02,158400.0,2026-08-30 20:02,158342.0,short_reversal,-580.0,306.46,,-886.46
gold_02,GOLDM,SHORT,2026-08-30 20:02,158074.0,2026-08-30 20:02,158305.0,long_reversal,-2310.0,306.07,,-2616.07
silver_01,SILVERM,LONG,2026-08-30 20:02,249750.0,2026-08-30 20:02,248098.0,short_reversal,-8260.0,250.56,,-8510.56
gold_02,GOLDM,LONG,2026-08-30 20:02,158664.0,2026-08-30 20:02,158167.0,short_reversal,-4970.0,306.31,,-5276.31
silver_01,SILVERM,LONG,2026-08-30 20:02,253500.0,2026-08-30 20:02,252832.0,stop_loss_hit,-3340.0,254.27,,-3594.27
silver_01,SILVERM,SHORT,2026-08-30 20:02,253025.0,2026-08-30 20:02,253500.0,long_reversal,-2375.0,254.4,,-2629.4
gold_02,GOLDM,LONG,2026-08-30 20:02,161490.0,2026-08-30 20:02,161076.0,stop_loss_hit,-4140.0,311.05,,-4451.05
silver_01,SILVERM,LONG,2026-08-30 20:02,252149.0,2026-08-30 20:02,253167.0,short_reversal,5090.0,254.28,,4835.72
gold_02,GOLDM,SHORT,2026-08-30 20:02,161449.0,2026-08-30 20:02,161771.0,stop_loss_hit,-3220.0,311.63,,-3531.63
silver_01,SILVERM,LONG,2026-08-30 20:02,253333.0,2026-08-30 20:02,251243.0,stop_loss_hit,-10450.0,253.2,,-10703.2
silver_01,SILVERM,SHORT,2026-08-30 20:02,255397.0,2026-08-30 20:02,253001.0,long_reversal,11980.0,255.89,,11724.11
gold_02,GOLDM,SHORT,2026-08-30 20:02,162300.0,2026-08-30 20:02,162452.0,long_reversal,-1520.0,312.97,,-1832.97
silver_01,SILVERM,SHORT,2026-08-30 20:02,254451.0,2026-08-30 20:02,254853.0,stop_loss_hit,-2010.0,255.56,,-2265.56
gold_02,GOLDM,LONG,2026-08-30 20:02,162068.0,2026-08-30 20:02,161814.0,short_reversal,-2540.0,312.2,,-2852.2
silver_01,SILVERM,SHORT,2026-08-30 20:02,254500.0,2026-08-30 20:02,255499.0,stop_loss_hit,-4995.0,255.69,,-5250.69
