strategy,instrument,side,entry_time,entry_price,exit_time,exit_price,exit_reason,gross,fees,slippage_cost,net
silver_01,SILVERM,LONG,2026-08-30 20:02,249751.0,2026-08-30 20:02,249340.0,short_reversal,-2055.0,251.38,,-2306.38
gold_02,GOLDM,LONG,2026-08-30 20:02,158401.0,2026-08-30 20:02,157864.0,short_reversal,-5370.0,305.83,,-5675.83
gold_02,GOLDM,SHORT,2026-08-30 20:02,158073.0,2026-08-30 20:02,158306.0,long_reversal,-2330.0,306.07,,-2636.07
gold_02,GOLDM,LONG,2026-08-30 20:02,158452.0,2026-08-30 20:02,158166.0,short_reversal,-2860.0,306.24,,-3166.24
silver_01,SILVERM,LONG,2026-08-30 20:02,253501.0,2026-08-30 20:02,252831.0,stop_loss_hit,-3350.0,254.27,,-3604.27
silver_01,SILVERM,SHORT,2026-08-30 20:02,253024.0,2026-08-30 20:02,253501.0,long_reversal,-2385.0,254.4,,-2639.4
gold_02,GOLDM,LONG,2026-08-30 20:02,161491.0,2026-08-30 20:02,161075.0,stop_loss_hit,-4160.0,311.04,,-4471.04
silver_01,SILVERM,LONG,2026-08-30 20:02,252150.0,2026-08-30 20:02,253166.0,short_reversal,5080.0,254.28,,4825.72
gold_02,GOLDM,SHORT,2026-08-30 20:02,161448.0,2026-08-30 20:02,161772.0,stop_loss_hit,-3240.0,311.63,,-3551.63
gold_02,GOLDM,SHORT,2026-08-30 20:02,162299.0,2026-08-30 20:02,162200.0,long_reversal,990.0,312.88,,677.12
silver_01,SILVERM,SHORT,2026-08-30 20:02,255396.0,2026-08-30 20:02,252030.0,long_reversal,16830.0,255.73,,16574.27
silver_01,SILVERM,SHORT,2026-08-30 20:02,254205.0,2026-08-30 20:02,255059.0,stop_loss_hit,-4270.0,255.43,,-4525.43
silver_01,SILVERM,SHORT,2026-08-30 20:02,254044.0,2026-08-30 20:02,255500.0,stop_loss_hit,-7280.0,255.39,,-7535.39
