strategy,instrument,side,entry_time,entry_price,exit_time,exit_price,exit_reason,gross,fees,slippage_cost,net
silver_01,SILVERM,LONG,2026-08-30 20:02,249372.0,2026-08-30 20:02,249340.0,short_reversal,-160.0,251.31,,-411.31
gold_02,GOLDM,LONG,2026-08-30 20:02,158401.0,2026-08-30 20:02,157864.0,short_reversal,-5370.0,305.83,,-5675.83
gold_02,GOLDM,SHORT,2026-08-30 20:02,158073.0,2026-08-30 20:02,158306.0,long_reversal,-2330.0,306.07,,-2636.07
silver_01,SILVERM,LONG,2026-08-30 20:02,249751.0,2026-08-30 20:02,248097.0,short_reversal,-8270.0,250.56,,-8520.56
gold_02,GOLDM,LONG,2026-08-30 20:02,158665.0,2026-08-30 20:02,158166.0,short_reversal,-4990.0,306.31,,-5296.31
silver_01,SILVERM,LONG,2026-08-30 20:02,253501.0,2026-08-30 20:02,252831.0,stop_loss_hit,-3350.0,254.27,,-3604.27
silver_01,SILVERM,SHORT,2026-08-30 20:02,253024.0,2026-08-30 20:02,253501.0,long_reversal,-2385.0,254.4,,-2639.4
gold_02,GOLDM,LONG,2026-08-30 20:02,161491.0,2026-08-30 20:02,161075.0,stop_loss_hit,-4160.0,311.04,,-4471.04
silver_01,SILVERM,LONG,2026-08-30 20:02,252150.0,2026-08-30 20:02,253166.0,short_reversal,5080.0,254.28,,4825.72
gold_02,GOLDM,SHORT,2026-08-30 20:02,161448.0,2026-08-30 20:02,161772.0,stop_loss_hit,-3240.0,311.63,,-3551.63
silver_01,SILVERM,LONG,2026-08-30 20:02,253334.0,2026-08-30 20:02,251242.0,stop_loss_hit,-10460.0,253.2,,-10713.2
silver_01,SILVERM,SHORT,2026-08-30 20:02,255396.0,2026-08-30 20:02,253002.0,long_reversal,11970.0,255.89,,11714.11
gold_02,GOLDM,SHORT,2026-08-30 20:02,162299.0,2026-08-30 20:02,162453.0,long_reversal,-1540.0,312.96,,-1852.96
silver_01,SILVERM,SHORT,2026-08-30 20:02,254450.0,2026-08-30 20:02,254854.0,stop_loss_hit,-2020.0,255.56,,-2275.56
gold_02,GOLDM,LONG,2026-08-30 20:02,162069.0,2026-08-30 20:02,161813.0,short_reversal,-2560.0,312.2,,-2872.2
silver_01,SILVERM,SHORT,2026-08-30 20:02,254499.0,2026-08-30 20:02,255500.0,stop_loss_hit,-5005.0,255.69,,-5260.69
