run,instrument,side,entry_time,ref_entry,live_entry,entry_diff,ref_trigger,live_fill_is_trigger,exit_time,live_exit_time,ref_exit,live_exit,exit_diff,ref_reason,live_reason,ref_net,live_net,ref_gross,live_gross,ref_fees,live_fees
A_controlled,GOLDM,LONG,2026-08-24 10:45,162054,162068,-14,162068,1,2026-08-24 14:00,2026-08-24 13:45,161814,161850,-36,bear_reversal,short_reversal,-2712.20,-2852.20,-2400.00,-2540.00,312.20,312.20
A_controlled,GOLDM,SHORT,2026-08-24 22:30,162394,162300,94,162300,1,2026-08-25 12:00,2026-08-25 11:45,162452,162452,0,bull_reversal,long_reversal,-893.15,-1832.97,-580.00,-1520.00,313.15,312.97
A_controlled,GOLDM,SHORT,2026-08-25 22:45,161470,161449,21,161449,1,2026-08-26 09:00,2026-08-26 09:00,161771,161771,0,stop_loss_hit,stop_loss_hit,-3321.96,-3531.63,-3010.00,-3220.00,311.96,311.63
A_controlled,GOLDM,LONG,2026-08-27 10:30,158624,158664,-40,158664,1,2026-08-27 23:00,2026-08-27 22:45,158167,158180,-13,bear_reversal,short_reversal,-4876.30,-4451.05,-4570.00,-4140.00,306.30,311.05
A_controlled,GOLDM,SHORT,2026-08-28 09:00,156987,158074,-1087,158074,1,2026-08-28 12:30,2026-08-28 12:15,158305,158314,-9,bull_reversal,long_reversal,-13485.96,-5276.31,-13180.00,-4970.00,305.96,306.31
A_controlled,GOLDM,LONG,2026-08-28 12:45,158228,158400,-172,158400,1,2026-08-28 19:45,2026-08-28 19:30,158342,158351,-9,bear_reversal,short_reversal,833.60,-2616.07,1140.00,-2310.00,306.40,306.07
A_controlled,GOLDM,LONG,2026-08-26 18:00,161471,-,-,161490,0,2026-08-26 18:00,-,161076,-,-,stop_loss_hit,-,-4261.04,-,-3950.00,-,311.04,-
A_controlled,SILVERM,SHORT,2026-08-24 11:00,254349,254500,-151,254500,1,2026-08-24 11:30,2026-08-24 11:30,255499,255499,0,stop_loss_hit,stop_loss_hit,-6006.17,-5250.69,-5750.00,-4995.00,256.17,255.69
A_controlled,SILVERM,SHORT,2026-08-24 13:45,254461,254451,10,254451,1,2026-08-24 16:00,2026-08-24 16:00,254853,254853,0,stop_loss_hit,stop_loss_hit,-2215.76,-2265.56,-1960.00,-2010.00,255.76,255.56
A_controlled,SILVERM,SHORT,2026-08-24 19:15,255421,255397,24,255397,1,2026-08-25 12:00,2026-08-25 11:45,253001,253002,-1,bull_reversal,long_reversal,11845.31,11724.11,12100.00,11980.00,254.69,255.89
A_controlled,SILVERM,LONG,2026-08-25 12:00,253001,253333,-332,253333,1,2026-08-25 13:30,2026-08-25 13:30,251243,251243,0,stop_loss_hit,stop_loss_hit,-9043.15,-10703.20,-8790.00,-10450.00,253.15,253.20
A_controlled,SILVERM,LONG,2026-08-25 21:00,252029,252149,-120,252149,1,2026-08-26 12:00,2026-08-26 11:45,253167,253116,51,bear_reversal,short_reversal,5435.74,4835.72,5690.00,5090.00,254.26,254.28
A_controlled,SILVERM,SHORT,2026-08-26 12:00,253167,253025,142,253025,1,2026-08-26 18:00,2026-08-26 17:45,253500,253499,1,bull_reversal,long_reversal,-1919.66,-2629.40,-1665.00,-2375.00,254.66,254.40
A_controlled,SILVERM,LONG,2026-08-27 10:30,249566,249750,-184,249750,1,2026-08-28 09:15,2026-08-28 09:00,248098,248096,2,bear_reversal,short_reversal,-7590.53,-3594.27,-7340.00,-3340.00,250.53,254.27
A_controlled,SILVERM,LONG,2026-08-28 12:00,249267,249371,-104,249371,1,2026-08-28 19:45,2026-08-28 19:30,250132,250111,21,bear_reversal,short_reversal,4073.18,-8510.56,4325.00,-8260.00,251.82,250.56
A_controlled,SILVERM,SHORT,2026-08-24 10:15,254499,-,-,254149,0,2026-08-24 10:45,-,254500,-,-,stop_loss_hit,-,-260.53,-,-5.00,-,255.53,-
A_controlled,SILVERM,LONG,2026-08-26 18:00,253500,-,-,253500,0,2026-08-26 18:00,-,252832,-,-,stop_loss_hit,-,-3594.27,-,-3340.00,-,254.27,-
B_production,GOLDM,SHORT,2026-08-24 22:30,162394,162300,94,162300,1,2026-08-25 12:00,2026-08-25 21:00,162452,162157,295,bull_reversal,long_reversal,-893.15,677.12,-580.00,990.00,313.15,312.88
B_production,GOLDM,SHORT,2026-08-25 22:45,161470,161449,21,161449,1,2026-08-26 09:00,2026-08-26 09:00,161771,161771,0,stop_loss_hit,stop_loss_hit,-3321.96,-3551.63,-3010.00,-3240.00,311.96,311.63
B_production,GOLDM,LONG,2026-08-27 21:15,-,158451,-,-,0,-,2026-08-27 22:45,-,158180,-,-,short_reversal,-,-4471.04,-,-4160.00,-,311.04
B_production,GOLDM,SHORT,2026-08-28 09:00,156987,158074,-1087,158074,1,2026-08-28 12:30,2026-08-28 19:30,158305,158351,-46,bull_reversal,short_reversal,-13485.96,-3166.24,-13180.00,-2860.00,305.96,306.24
B_production,GOLDM,LONG,2026-08-24 10:45,162054,-,-,162068,0,2026-08-24 14:00,-,161814,-,-,bear_reversal,-,-2712.20,-,-2400.00,-,312.20,-
B_production,GOLDM,LONG,2026-08-26 18:00,161471,-,-,161490,0,2026-08-26 18:00,-,161076,-,-,stop_loss_hit,-,-4261.04,-,-3950.00,-,311.04,-
B_production,GOLDM,LONG,2026-08-27 10:30,158624,-,-,158664,0,2026-08-27 23:00,-,158167,-,-,bear_reversal,-,-4876.30,-,-4570.00,-,306.30,-
B_production,GOLDM,LONG,2026-08-28 12:45,158228,-,-,158400,0,2026-08-28 19:45,-,158342,-,-,bear_reversal,-,833.60,-,1140.00,-,306.40,-
B_production,SILVERM,SHORT,2026-08-24 09:30,-,254045,-,-,0,-,2026-08-24 11:30,-,255499,-,-,stop_loss_hit,-,-7535.39,-,-7280.00,-,255.39
B_production,SILVERM,SHORT,2026-08-24 15:00,-,254206,-,-,0,-,2026-08-24 15:30,-,255058,-,-,stop_loss_hit,-,-4525.43,-,-4270.00,-,255.43
B_production,SILVERM,SHORT,2026-08-24 19:15,255421,255397,24,255397,1,2026-08-25 12:00,2026-08-25 20:45,253001,252034,967,bull_reversal,long_reversal,11845.31,16574.27,12100.00,16830.00,254.69,255.73
B_production,SILVERM,LONG,2026-08-25 21:00,252029,252149,-120,252149,1,2026-08-26 12:00,2026-08-26 11:45,253167,253116,51,bear_reversal,short_reversal,5435.74,4825.72,5690.00,5080.00,254.26,254.28
B_production,SILVERM,SHORT,2026-08-26 12:00,253167,253025,142,253025,1,2026-08-26 18:00,2026-08-26 17:45,253500,253499,1,bull_reversal,long_reversal,-1919.66,-2639.40,-1665.00,-2385.00,254.66,254.40
