scenario,instrument,strategy,fast_tf,crossing_bar_ist,old_side,new_side,pending_trigger_input,pending_stop_input,exit_bar_ist,exit_order_side,exit_fill_price_out,exit_fill_expected(next_open),exit_reason_saved,trade_side,trade_entry_price,trade_exit_price,trade_gross,trade_charges,trade_net,trade_status,bt_exit_same_as_live,backtest_reentry_px(cross_open),live_reentry_trigger_original,live_reentry_trigger_effective,reentry_delta_per_lot,A_result
1,GOLDM,gold_01,5m,2026-08-25 11:50:00,SHORT,LONG,162440.0,162151.0,2026-08-25 11:55:00,BUY,162426.0,162426.0,long_reversal,SHORT,162340.0,162426.0,-860.0,313.01,-1173.01,closed,True,162426.0,162440.0,162440.0,140.0,PASS
1,GOLDM,gold_01,5m,2026-08-25 22:00:00,LONG,SHORT,161650.0,161803.0,2026-08-25 22:05:00,SELL,161650.0,161650.0,short_reversal,LONG,162046.0,161650.0,-3960.0,311.98,-4271.98,closed,True,161650.0,161650.0,161650.0,0.0,PASS
1,GOLDM,gold_01,5m,2026-08-26 17:45:00,SHORT,LONG,161451.0,161257.0,2026-08-26 17:50:00,BUY,161450.0,161450.0,long_reversal,SHORT,161437.0,161450.0,-130.0,311.51,-441.51,closed,True,161360.0,161451.0,161451.0,910.0,PASS
1,GOLDM,gold_01,5m,2026-08-27 22:45:00,LONG,SHORT,158005.0,158333.0,2026-08-27 22:50:00,SELL,158102.0,158102.0,short_reversal,LONG,158451.0,158102.0,-3490.0,306.16,-3796.16,closed,True,158101.0,158005.0,158123.0,220.0,PASS
1,GOLDM,gold_01,5m,2026-08-28 12:25:00,SHORT,LONG,158400.0,157950.0,2026-08-28 12:30:00,BUY,158305.0,158305.0,long_reversal,SHORT,158074.0,158305.0,-2310.0,306.07,-2616.07,closed,True,158352.0,158400.0,158400.0,480.0,PASS
1,GOLDM,gold_01,5m,2026-08-28 19:40:00,LONG,SHORT,158253.0,159100.0,2026-08-28 19:45:00,SELL,158342.0,158342.0,short_reversal,LONG,158400.0,158342.0,-580.0,306.46,-886.46,closed,True,158342.0,158253.0,158253.0,-890.0,PASS
1,GOLDM,gold_02,15m,2026-08-24 13:45:00,LONG,SHORT,161800.0,162312.0,2026-08-24 14:00:00,SELL,161814.0,161814.0,short_reversal,LONG,162068.0,161814.0,-2540.0,312.2,-2852.2,closed,True,162394.0,161800.0,162300.0,-940.0,PASS
1,GOLDM,gold_02,15m,2026-08-25 11:45:00,SHORT,LONG,162546.0,162100.0,2026-08-25 12:00:00,BUY,162452.0,162452.0,long_reversal,SHORT,162300.0,162452.0,-1520.0,312.97,-1832.97,closed,True,161471.0,162546.0,161490.0,190.0,PASS
1,GOLDM,gold_02,15m,2026-08-27 22:45:00,LONG,SHORT,158005.0,158529.0,2026-08-27 23:00:00,SELL,158167.0,158167.0,short_reversal,LONG,158664.0,158167.0,-4970.0,306.31,-5276.31,closed,True,156987.0,158005.0,158074.0,10870.0,PASS
1,GOLDM,gold_02,15m,2026-08-28 12:15:00,SHORT,LONG,158400.0,157550.0,2026-08-28 12:30:00,BUY,158305.0,158305.0,long_reversal,SHORT,158074.0,158305.0,-2310.0,306.07,-2616.07,closed,True,158228.0,158400.0,158400.0,1720.0,PASS
1,GOLDM,gold_02,15m,2026-08-28 19:30:00,LONG,SHORT,158014.0,159706.0,2026-08-28 19:45:00,SELL,158342.0,158342.0,short_reversal,LONG,158400.0,158342.0,-580.0,306.46,-886.46,closed,True,158342.0,158014.0,158014.0,-3280.0,PASS
1,SILVERM,silver_01,15m,2026-08-25 11:45:00,SHORT,LONG,253333.0,251673.0,2026-08-25 12:00:00,BUY,253001.0,253001.0,long_reversal,SHORT,255397.0,253001.0,11980.0,255.89,11724.11,closed,True,253001.0,253333.0,253333.0,1660.0,PASS
1,SILVERM,silver_01,15m,2026-08-26 11:45:00,LONG,SHORT,253025.0,254624.0,2026-08-26 12:00:00,SELL,253167.0,253167.0,short_reversal,LONG,252149.0,253167.0,5090.0,254.28,4835.72,closed,True,253167.0,253025.0,253025.0,-710.0,PASS
1,SILVERM,silver_01,15m,2026-08-26 17:45:00,SHORT,LONG,253500.0,252521.0,2026-08-26 18:00:00,BUY,253500.0,253500.0,long_reversal,SHORT,253025.0,253500.0,-2375.0,254.4,-2629.4,closed,True,253500.0,253500.0,253500.0,0.0,PASS
1,SILVERM,silver_01,15m,2026-08-28 09:00:00,LONG,SHORT,247751.0,249610.0,2026-08-28 09:15:00,SELL,248098.0,248098.0,short_reversal,LONG,249750.0,248098.0,-8260.0,250.56,-8510.56,closed,True,250132.0,247751.0,250010.0,-610.0,PASS
1,SILVERM,silver_01,15m,2026-08-28 19:30:00,LONG,SHORT,250010.0,254450.0,2026-08-28 19:45:00,SELL,250132.0,250132.0,short_reversal,LONG,249371.0,250132.0,3805.0,251.84,3553.16,closed,True,250132.0,250010.0,250010.0,-610.0,PASS
1,SILVERM,silver_02,5m,2026-08-25 11:55:00,SHORT,LONG,253333.0,252171.0,2026-08-25 12:00:00,BUY,253001.0,253001.0,long_reversal,SHORT,255397.0,253001.0,11980.0,255.89,11724.11,closed,True,253001.0,253333.0,253333.0,1660.0,PASS
1,SILVERM,silver_02,5m,2026-08-26 11:55:00,LONG,SHORT,253025.0,253673.0,2026-08-26 12:00:00,SELL,253167.0,253167.0,short_reversal,LONG,251897.0,253167.0,6350.0,254.24,6095.76,closed,True,253167.0,253025.0,253025.0,-710.0,PASS
