component,instrument,sub,rows,valid,first_ist,last_ist,bars,bars15,bars1h,bars_compared,mismatches,strategy,fill_id,bar_ist,bar_tf,side,qty,kind,reason,entry P&L-input(driver),price_saved,price_model,orders,fills,closed_trades,open_positions,entry_price,exit_price,multiplier,exit_reason,gross_expected,gross_saved,charges_expected,charges_saved,net_expected,net_saved,acct_realized,sum_own_nets,entry_day,exit_day,nights
input/raw,GOLDM,CSV-5m,870.0,PASS,2026-08-24 09:00,2026-08-28 23:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bars/5m,GOLDM,agg==first/max/min/last,,PASS,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bars/15m+1h,GOLDM,agg of lower-TF members,,PASS,,,,290.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicator+map,GOLDM,per-bar engine vs independent DEMAATR+searchsorted,,PASS,,,,,,1150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,e8c5e57b,08-24 10:35,5m,BUY,1.0,entry,,entry,162012.0,162012.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,6618a743,08-24 11:00,5m,SELL,1.0,exit,stop_loss_hit,exit,161889.0,161889.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,6c5f3f80,08-24 11:20,5m,BUY,1.0,entry,,entry,162000.0,162000.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,7c093cde,08-24 13:45,5m,SELL,1.0,exit,stop_loss_hit,exit,161926.0,161926.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,a336fbfb,08-24 21:25,5m,SELL,1.0,entry,,entry,162340.0,162340.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,a2e03d9e,08-25 11:55,5m,BUY,1.0,exit,long_reversal,exit,162426.0,162426.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,cdf1a5b1,08-25 11:55,5m,BUY,1.0,entry,,entry,162440.0,162440.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,d86b3347,08-25 12:25,5m,SELL,1.0,exit,stop_loss_hit,exit,162081.0,162081.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,98d1bb63,08-25 21:05,5m,BUY,1.0,entry,,entry,162046.0,162046.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,edc38f92,08-25 22:05,5m,SELL,1.0,exit,short_reversal,exit,161650.0,161650.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,2a0d653e,08-25 22:05,5m,SELL,1.0,entry,stop_loss_hit,entry,161650.0,161650.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,381838c0,08-25 22:05,5m,BUY,1.0,exit,stop_loss_hit,exit,161870.0,161870.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,abaa2ee8,08-25 22:40,5m,SELL,1.0,entry,,entry,161450.0,161450.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,c8fbfe8c,08-25 23:25,5m,BUY,1.0,exit,stop_loss_hit,exit,161840.0,161840.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,3651f402,08-26 11:50,5m,SELL,1.0,entry,,entry,161437.0,161437.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,da4c0c29,08-26 17:50,5m,BUY,1.0,exit,long_reversal,exit,161450.0,161450.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,4bffbbce,08-26 17:55,5m,BUY,1.0,entry,,entry,161451.0,161451.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,e0efd7f1,08-26 18:00,5m,SELL,1.0,exit,stop_loss_hit,exit,161169.0,161169.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,e9d0bd93,08-27 10:30,5m,BUY,1.0,entry,,entry,158664.0,158664.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,9965ab79,08-27 11:20,5m,SELL,1.0,exit,stop_loss_hit,exit,157430.0,157430.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,6ebcc94d,08-27 21:15,5m,BUY,1.0,entry,,entry,158451.0,158451.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,dc54cadf,08-27 22:50,5m,SELL,1.0,exit,short_reversal,exit,158102.0,158102.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,7035067d,08-27 23:05,5m,SELL,1.0,entry,,entry,158123.0,158123.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,0956d916,08-27 23:10,5m,BUY,1.0,exit,stop_loss_hit,exit,158332.0,158332.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,b5355035,08-28 09:00,5m,SELL,1.0,entry,,entry,158074.0,158074.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,0a6a922d,08-28 12:30,5m,BUY,1.0,exit,long_reversal,exit,158305.0,158305.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,57ab3805,08-28 12:55,5m,BUY,1.0,entry,,entry,158400.0,158400.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,f8848066,08-28 19:45,5m,SELL,1.0,exit,short_reversal,exit,158342.0,158342.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_01,5b6398d9,08-28 19:45,5m,SELL,1.0,entry,,entry,158253.0,158253.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,a31cac33,08-24 10:45,15m,BUY,1.0,entry,,entry,162068.0,162068.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,0b826cab,08-24 14:00,15m,SELL,1.0,exit,short_reversal,exit,161814.0,161814.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,93f2f21a,08-24 22:30,15m,SELL,1.0,entry,,entry,162300.0,162300.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,e1ff7410,08-25 12:00,15m,BUY,1.0,exit,long_reversal,exit,162452.0,162452.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,7b67281a,08-25 22:45,15m,SELL,1.0,entry,,entry,161449.0,161449.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,1f444ef2,08-26 09:00,15m,BUY,1.0,exit,stop_loss_hit,exit,161771.0,161771.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,ebb981ed,08-26 18:00,15m,BUY,1.0,entry,stop_loss_hit,entry,161490.0,161490.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,11de7a7e,08-26 18:00,15m,SELL,1.0,exit,stop_loss_hit,exit,161076.0,161076.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,4c6222f4,08-27 10:30,15m,BUY,1.0,entry,,entry,158664.0,158664.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,9fcace8d,08-27 23:00,15m,SELL,1.0,exit,short_reversal,exit,158167.0,158167.0,,,,,,,,,,,,,,,,,,,
order->fill,GOLDM,,,PASS,,,,,,,,gold_02,78444f78,08-28 09:00,15m,SELL,1.0,entry,,entry,158074.0,158074.0,,,,,,,,,,,,,,,,,,,
