module,lines,classes,functions,routes,sample_routes,imported_by_modules
__init__.py,2,0,0,0,,
_audit_5day.py,556,1,16,0,,
_audit_artifacts.py,370,0,1,0,,
_audit_auth_gate.py,103,0,4,0,,
_audit_pass2.py,231,0,8,0,,
_bt5_backtest.py,282,0,7,0,,
_bt5_offline.py,204,0,2,0,,
_frontend_deep_check.py,542,0,11,0,,_audit_auth_gate.py
_fullstack_check.py,593,0,17,0,,"_audit_auth_gate.py, _frontend_deep_check.py"
_live_flow_check.py,512,0,10,0,,
analytics\__init__.py,2,0,0,0,,
analytics\event_store.py,147,1,8,0,,
analytics\performance.py,694,3,19,0,,
analytics\routes.py,612,0,22,20,"router.get, router.get, router.get, router.get, router.get, router.get",
analytics\schema.py,269,0,1,0,,analytics\routes.py
analytics\trade_ledger.py,443,5,17,0,,analytics\routes.py
config\__init__.py,72,1,6,0,,
core\__init__.py,17,0,1,0,,
core\candle_fetcher.py,268,1,9,0,,
core\fill_dedup.py,148,1,9,0,,
core\market_status.py,326,4,29,0,,
core\risk_engine.py,150,1,12,0,,
core\safe_mode.py,157,1,10,0,,
core\timeframe_engine.py,168,3,11,0,,
core\trade_close.py,280,1,2,0,,
dashboard\__init__.py,0,0,0,0,,
dashboard\event_bus.py,108,3,14,0,,
dashboard\routes\__init__.py,0,0,0,0,,
dashboard\routes\alerts.py,51,0,3,1,router.get,
dashboard\routes\audit_log.py,34,0,3,1,router.get,
dashboard\routes\health.py,70,0,3,1,router.get,monitoring\__init__.py
dashboard\routes\indicators.py,75,0,9,4,"router.get, router.get, router.get, router.get","trading_engine.py, verify_live_signals.py, _bt5_backtest.py, _live_flow_check.py, htf\backtest_style_htf.py"
dashboard\routes\market_data.py,79,0,5,2,"router.get, router.get",
dashboard\routes\orders.py,108,0,7,3,"router.get, router.get, router.get",
dashboard\routes\overview.py,121,0,7,2,"router.get, router.get",
dashboard\routes\pnl.py,136,0,9,4,"router.get, router.get, router.get, router.get",portfolio\__init__.py
dashboard\routes\positions.py,84,0,7,3,"router.get, router.get, router.get",
dashboard\routes\reconciliation.py,44,0,3,1,router.get,"full_simulator.py, trading_engine.py, _audit_5day.py, _bt5_backtest.py, _bt5_offline.py, _live_flow_check.py, dashboard\routes\reconciliation.py"
dashboard\routes\replay.py,25,0,4,3,"router.get, router.post, router.post",
dashboard\routes\risk.py,49,0,3,1,router.get,
dashboard\routes\settings.py,73,0,5,2,"router.get, router.post",
dashboard\routes\strategies.py,212,0,10,4,"router.get, router.get, router.post, router.get","trading_engine.py, _bt5_offline.py, _fullstack_check.py, _live_flow_check.py, execution\paper_broker.py, strategies\base_dema_strategy.py, strategies\gold\__init__.py, strategies\silver\__init__.py"
dashboard\routes\trades.py,61,0,5,2,"router.get, router.get",
dashboard\run.py,32,0,1,0,,
dashboard\server.py,424,0,17,2,"app.get, app.get",
dashboard\ws_manager.py,98,1,9,0,,
execution\__init__.py,14,0,0,0,,
execution\fee_model.py,103,2,3,0,,
execution\order_manager.py,125,1,7,0,,
execution\paper_broker.py,296,4,11,0,,execution\order_manager.py
full_simulator.py,547,2,23,0,,
htf\__init__.py,4,0,0,0,,
htf\backtest_style_htf.py,218,2,13,0,,
htf\confirmation.py,14,1,0,0,,
indicators\__init__.py,6,0,0,0,,
indicators\atr.py,159,1,8,0,,
indicators\dema.py,125,1,8,0,,
indicators\dema_atr.py,206,1,14,0,,
main.py,88,0,2,0,,
monitoring\__init__.py,4,0,0,0,,
monitoring\health.py,123,3,13,0,,
notifications\__init__.py,2,0,0,0,,
notifications\telegram_client.py,124,1,8,0,,
notifications\telegram_formatter.py,122,0,7,0,,
notifications\telegram_router.py,72,1,12,0,,
persistence\__init__.py,4,0,0,0,,
persistence\manager.py,351,1,16,0,,
portfolio\__init__.py,15,0,0,0,,
portfolio\account.py,153,2,14,0,,
portfolio\pnl.py,172,2,12,0,,
portfolio\position_manager.py,264,4,16,0,,portfolio\pnl.py
reconciliation\__init__.py,4,0,0,0,,
reconciliation\engine.py,489,2,19,0,,
strategies\__init__.py,29,0,0,0,,
strategies\base_dema_strategy.py,664,1,20,0,,
strategies\gold\__init__.py,50,4,4,0,,
strategies\silver\__init__.py,50,4,4,0,,
strategies\types.py,90,6,0,0,,
trading_engine.py,1515,1,30,0,,full_simulator.py
verify_live_signals.py,202,0,1,0,,
