instrument,strategy,fast_tf,bar_start_ist,crossing_side,result,engine,reference
GOLDM,gold_01,5m,2026-08-26 10:00:00,LONG,MATCH,pC=161803.0000|pH=161803.0000|h=161803.0000|pM=161771.0000|m=161771.0000|f=161766.5836,pC=161803.0000|pH=161803.0000|h=161803.0000|pM=161771.0000|m=161771.0000|f=161766.5836
GOLDM,gold_01,5m,2026-08-26 11:30:00,LONG,MATCH,pC=161764.0000|pH=161803.0000|h=161803.0000|pM=161771.0000|m=161771.0000|f=161853.4791,pC=161764.0000|pH=161803.0000|h=161803.0000|pM=161771.0000|m=161771.0000|f=161853.4791
GOLDM,gold_01,5m,2026-08-26 17:35:00,LONG,MATCH,pC=161329.0000|pH=161358.7240|h=161358.7240|pM=161103.7462|m=161103.7462|f=161215.1771,pC=161329.0000|pH=161358.7240|h=161358.7240|pM=161103.7462|m=161103.7462|f=161215.1771
GOLDM,gold_01,5m,2026-08-26 17:45:00,LONG,MATCH,pC=161310.0000|pH=161358.7240|h=161358.7240|pM=161103.7462|m=161103.7462|f=161249.4143,pC=161310.0000|pH=161358.7240|h=161358.7240|pM=161103.7462|m=161103.7462|f=161249.4143
GOLDM,gold_01,5m,2026-08-27 03:30:00,LONG,MATCH,pC=158070.0000|pH=160000.2621|h=159077.4678|pM=158745.0881|m=158745.0881|f=158388.6921,pC=158070.0000|pH=160000.2621|h=159077.4678|pM=158745.0881|m=158745.0881|f=158388.6921
GOLDM,gold_01,5m,2026-08-27 04:00:00,LONG,MATCH,pC=158888.0000|pH=159077.4678|h=159077.4678|pM=158745.0881|m=158745.0881|f=158945.0359,pC=158888.0000|pH=159077.4678|h=159077.4678|pM=158745.0881|m=158745.0881|f=158945.0359
GOLDM,gold_01,5m,2026-08-27 09:00:00,LONG,MATCH,pC=158009.0000|pH=159077.4678|h=159077.4678|pM=158745.0881|m=158745.0881|f=158332.8006,pC=158009.0000|pH=159077.4678|h=159077.4678|pM=158745.0881|m=158745.0881|f=158332.8006
GOLDM,gold_01,5m,2026-08-27 09:30:00,LONG,MATCH,pC=158888.0000|pH=159077.4678|h=159077.4678|pM=158745.0881|m=158745.0881|f=159047.6699,pC=158888.0000|pH=159077.4678|h=159077.4678|pM=158745.0881|m=158745.0881|f=159047.6699
GOLDM,gold_01,5m,2026-08-27 10:25:00,LONG,MATCH,pC=157817.0000|pH=158464.3577|h=158464.3577|pM=157934.0812|m=157934.0812|f=157678.3029,pC=157817.0000|pH=158464.3577|h=158464.3577|pM=157934.0812|m=157934.0812|f=157678.3029
GOLDM,gold_01,5m,2026-08-27 21:10:00,LONG,MATCH,pC=157978.0000|pH=158194.1637|h=158194.1637|pM=157501.4621|m=157642.7867|f=157947.6017,pC=157978.0000|pH=158194.1637|h=158194.1637|pM=157501.4621|m=157642.7867|f=157947.6017
GOLDM,gold_01,5m,2026-08-27 22:45:00,SHORT,MATCH,pC=158266.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158382.1968,pC=158266.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158382.1968
GOLDM,gold_01,5m,2026-08-27 22:55:00,SHORT,MATCH,pC=158245.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158382.1968,pC=158245.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158382.1968
GOLDM,gold_01,5m,2026-08-27 23:15:00,SHORT,MATCH,pC=158332.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158302.6176,pC=158332.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158302.6176
GOLDM,gold_01,5m,2026-08-28 09:00:00,SHORT,MATCH,pC=158571.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158102.8922,pC=158571.0000|pH=158194.1637|h=158194.1637|pM=158254.2776|m=158254.2776|f=158102.8922
GOLDM,gold_01,5m,2026-08-28 12:25:00,LONG,MATCH,pC=158118.0000|pH=158194.1637|h=158194.1637|pM=157606.2242|m=157816.4557|f=158073.2746,pC=158118.0000|pH=158194.1637|h=158194.1637|pM=157606.2242|m=157816.4557|f=158073.2746
GOLDM,gold_01,5m,2026-08-28 19:40:00,SHORT,MATCH,pC=158702.0000|pH=158511.6897|h=158511.6897|pM=158983.1570|m=158983.1570|f=158847.1973,pC=158702.0000|pH=158511.6897|h=158511.6897|pM=158983.1570|m=158983.1570|f=158847.1973
GOLDM,gold_02,15m,2026-08-26 17:45:00,LONG,MATCH,pC=161310.0000|pH=161358.7240|h=161358.7240|pM=161103.7462|m=161199.4604|f=161199.4604,pC=161310.0000|pH=161358.7240|h=161358.7240|pM=161103.7462|m=161199.4604|f=161199.4604
