strategy,instrument,fast_tf,trade_side,entry_ist,entry_price,exit_ist,exit_price,exit_reason,open_signal_ist,open_signal_side,open_parity,open_detail,close_signal_ist,close_signal_side,close_parity,close_detail,link_ok
gold_01,GOLDM,5m,LONG,2026-08-26 10:10:00,161926.0,2026-08-26 10:20:00,161825.0,stop_loss_hit,2026-08-26 10:00:00,LONG,OK,close=161905.0000 htf=161803.0000 mid=161771.0000 fast=161766.5836 pre_close=161803.0000 pre_htf=161803.0000 pre_mid=161771.0000,2026-08-26 10:20:00,NONE,OK,close=161820.0000 htf=161803.0000 mid=161771.0000 fast=161766.5836 pre_close=161826.0000 pre_htf=161803.0000 pre_mid=161771.0000,True
gold_01,GOLDM,5m,LONG,2026-08-26 18:00:00,161452.0,2026-08-26 18:05:00,161168.0,stop_loss_hit,2026-08-26 17:45:00,LONG,OK,close=161421.0000 htf=161358.7240 mid=161103.7462 fast=161249.4143 pre_close=161310.0000 pre_htf=161358.7240 pre_mid=161103.7462,2026-08-26 18:05:00,NONE,OK,close=161100.0000 htf=161358.7240 mid=161199.4604 fast=161282.3783 pre_close=161169.0000 pre_htf=161358.7240 pre_mid=161199.4604,True
gold_01,GOLDM,5m,LONG,2026-08-27 10:35:00,158665.0,2026-08-27 11:25:00,157429.0,stop_loss_hit,2026-08-27 10:25:00,LONG,OK,close=158600.0000 htf=158464.3577 mid=157934.0812 fast=157678.3029 pre_close=157817.0000 pre_htf=158464.3577 pre_mid=157934.0812,2026-08-27 11:25:00,NONE,OK,close=157534.0000 htf=158464.3577 mid=157934.0812 fast=157702.2699 pre_close=157430.0000 pre_htf=158464.3577 pre_mid=157934.0812,True
gold_01,GOLDM,5m,LONG,2026-08-27 21:20:00,158452.0,2026-08-27 22:55:00,158101.0,short_reversal,2026-08-27 21:10:00,LONG,OK,close=158275.0000 htf=158194.1637 mid=157642.7867 fast=157947.6017 pre_close=157978.0000 pre_htf=158194.1637 pre_mid=157501.4621,2026-08-27 22:55:00,SHORT,OK,close=158180.0000 htf=158194.1637 mid=158254.2776 fast=158382.1968 pre_close=158245.0000 pre_htf=158194.1637 pre_mid=158254.2776,True
gold_01,GOLDM,5m,SHORT,2026-08-27 23:10:00,158122.0,2026-08-27 23:15:00,158333.0,stop_loss_hit,2026-08-27 22:55:00,SHORT,OK,close=158180.0000 htf=158194.1637 mid=158254.2776 fast=158382.1968 pre_close=158245.0000 pre_htf=158194.1637 pre_mid=158254.2776,2026-08-27 23:15:00,SHORT,OK,close=158101.0000 htf=158194.1637 mid=158254.2776 fast=158302.6176 pre_close=158332.0000 pre_htf=158194.1637 pre_mid=158254.2776,True
gold_01,GOLDM,5m,SHORT,2026-08-28 03:35:00,158073.0,2026-08-28 07:30:00,158451.0,stop_loss_hit,2026-08-27 23:15:00,SHORT,OK,close=158101.0000 htf=158194.1637 mid=158254.2776 fast=158302.6176 pre_close=158332.0000 pre_htf=158194.1637 pre_mid=158254.2776,2026-08-28 07:30:00,NONE,OK,close=158836.0000 htf=158194.1637 mid=158254.2776 fast=158499.4212 pre_close=158450.0000 pre_htf=158194.1637 pre_mid=158254.2776,True
gold_01,GOLDM,5m,LONG,2026-08-28 13:00:00,158401.0,2026-08-28 19:50:00,158341.0,short_reversal,2026-08-28 12:25:00,LONG,OK,close=158314.0000 htf=158194.1637 mid=157816.4557 fast=158073.2746 pre_close=158118.0000 pre_htf=158194.1637 pre_mid=157606.2242,2026-08-28 19:50:00,NONE,OK,close=158278.0000 htf=158511.6897 mid=158983.1570 fast=158611.5547 pre_close=158163.0000 pre_htf=158511.6897 pre_mid=158983.1570,True
gold_01,GOLDM,5m,SHORT,2026-08-28 19:50:00,158252.0,OPEN,,OPEN,2026-08-28 19:40:00,SHORT,OK,close=158351.0000 htf=158511.6897 mid=158983.1570 fast=158847.1973 pre_close=158702.0000 pre_htf=158511.6897 pre_mid=158983.1570,NA,NA,NA,NA,True
gold_02,GOLDM,15m,LONG,2026-08-26 18:15:00,161491.0,2026-08-26 18:15:00,161075.0,stop_loss_hit,2026-08-26 17:45:00,LONG,OK,close=161449.0000 htf=161358.7240 mid=161199.4604 fast=161199.4604 pre_close=161310.0000 pre_htf=161358.7240 pre_mid=161103.7462,2026-08-26 18:15:00,NONE,OK,close=160950.0000 htf=161358.7240 mid=161199.4604 fast=161199.4604 pre_close=161076.0000 pre_htf=161358.7240 pre_mid=161199.4604,True
gold_02,GOLDM,15m,LONG,2026-08-27 10:45:00,158665.0,2026-08-27 23:05:00,158141.0,short_reversal,2026-08-27 10:15:00,LONG,OK,close=158600.0000 htf=158464.3577 mid=157934.0812 fast=157934.0812 pre_close=156829.0000 pre_htf=158464.3577 pre_mid=157934.0812,2026-08-27 23:00:00,NONE,OK,close=158332.0000 htf=158194.1637 mid=158254.2776 fast=158254.2776 pre_close=158180.0000 pre_htf=158194.1637 pre_mid=158254.2776,True
