datetime,open,high,low,close,volume
2026-09-02T09:00:00,239023.11,239095.3,239000.71,239059.57,35
2026-09-02T09:05:00,239067.23,239095.0,238997.51,239030.2,85
2026-09-02T09:10:00,239052.61,239071.48,239020.77,239036.0,207
2026-09-02T09:15:00,239007.78,239035.39,238992.91,239022.03,386
2026-09-02T09:20:00,239030.44,239056.32,238941.41,238979.82,165
2026-09-02T09:25:00,239006.49,239043.67,238955.73,238969.53,378
2026-09-02T09:30:00,239003.08,239020.44,238993.55,239006.51,67
2026-09-02T09:35:00,238996.51,239025.42,238944.55,238970.15,376
2026-09-02T09:40:00,238992.13,239018.66,238955.58,238971.73,298
2026-09-02T09:45:00,238981.66,239032.32,238964.34,239008.78,118
2026-09-02T09:50:00,239000.27,239047.51,238988.76,239039.03,173
2026-09-02T09:55:00,239015.86,239038.26,238956.52,238987.99,140
2026-09-02T10:00:00,239023.17,239070.68,238988.91,239051.91,364
2026-09-02T10:05:00,239062.94,239111.35,239039.39,239097.15,155
2026-09-02T10:10:00,239088.67,239123.06,239062.06,239072.97,55
2026-09-02T10:15:00,239075.3,239096.47,238995.05,239030.65,114
2026-09-02T10:20:00,239007.44,239046.29,238989.91,239040.79,322
2026-09-02T10:25:00,239053.44,239084.26,238994.22,239031.63,45
2026-09-02T10:30:00,239050.69,239055.32,238988.62,239019.27,316
2026-09-02T10:35:00,239036.96,239074.84,239027.59,239057.68,305
2026-09-02T10:40:00,239030.65,239052.19,239021.27,239036.93,199
2026-09-02T10:45:00,239038.21,239054.23,238986.42,239013.94,304
2026-09-02T10:50:00,238978.24,239006.88,238900.6,238929.35,139
2026-09-02T10:55:00,238921.12,238971.16,238912.97,238950.97,108
2026-09-02T11:00:00,238959.34,239031.66,238931.91,239002.42,56
2026-09-02T11:05:00,238987.37,239028.46,238966.92,238998.42,167
2026-09-02T11:10:00,239006.53,239042.62,238955.93,238960.83,39
2026-09-02T11:15:00,238952.97,238965.96,238926.04,238959.87,91
2026-09-02T11:20:00,238963.97,239004.15,238935.89,238984.18,349
2026-09-02T11:25:00,238969.34,238993.73,238878.34,238912.05,137
2026-09-02T11:30:00,238915.38,238946.03,238897.9,238940.46,155
2026-09-02T11:35:00,238923.43,238957.3,238917.4,238929.66,284
2026-09-02T11:40:00,238974.1,239017.03,238944.94,239008.06,132
2026-09-02T11:45:00,239023.83,239078.63,238984.3,239061.18,377
2026-09-02T11:50:00,239040.66,239117.68,239020.02,239108.3,229
2026-09-02T11:55:00,239139.76,239180.57,239122.5,239145.21,360
2026-09-02T12:00:00,239136.67,239149.5,239064.57,239099.68,370
2026-09-02T12:05:00,239090.03,239130.84,239071.2,239101.02,18
2026-09-02T12:10:00,239070.04,239084.52,239060.87,239076.96,103
2026-09-02T12:15:00,239061.33,239114.38,239054.22,239098.96,66
2026-09-02T12:20:00,239108.71,239134.83,239053.34,239091.1,41
2026-09-02T12:25:00,239083.5,239120.15,239071.88,239108.58,380
2026-09-02T12:30:00,239121.88,239152.05,239092.36,239137.29,27
2026-09-02T12:35:00,239144.37,239154.79,239082.99,239110.53,17
2026-09-02T12:40:00,239137.55,239149.23,239083.59,239112.69,90
2026-09-02T12:45:00,239128.3,239196.44,239111.85,239181.4,96
2026-09-02T12:50:00,239209.64,239237.58,239136.68,239164.17,366
2026-09-02T12:55:00,239143.65,239195.33,239112.72,239169.43,252
2026-09-02T13:00:00,239186.02,239201.55,239137.04,239156.22,262
2026-09-02T13:05:00,239151.01,239243.54,239111.1,239206.35,81
2026-09-02T13:10:00,239229.05,239246.79,239193.19,239206.08,17
2026-09-02T13:15:00,239211.77,239223.98,239161.24,239174.01,326
2026-09-02T13:20:00,239160.76,239199.93,239146.36,239188.71,350
2026-09-02T13:25:00,239206.4,239245.3,239169.04,239202.37,339
2026-09-02T13:30:00,239202.76,239234.28,239156.45,239182.12,183
2026-09-02T13:35:00,239167.59,239247.52,239155.46,239221.44,133
2026-09-02T13:40:00,239225.74,239265.73,239126.96,239163.96,127
2026-09-02T13:45:00,239176.73,239225.39,239162.21,239191.69,130
2026-09-02T13:50:00,239198.17,239277.11,239158.94,239242.42,169
2026-09-02T13:55:00,239246.19,239254.0,239217.04,239233.38,246
2026-09-02T14:00:00,239217.15,239236.65,239187.13,239209.51,367
2026-09-02T14:05:00,239175.51,239206.19,239052.36,239073.82,116
2026-09-02T14:10:00,239077.81,239102.69,239064.49,239098.23,63
2026-09-02T14:15:00,239117.18,239123.93,239076.31,239090.93,146
2026-09-02T14:20:00,239095.42,239135.06,239089.4,239105.42,326
2026-09-02T14:25:00,239108.23,239122.04,239040.14,239065.05,232
2026-09-02T14:30:00,239073.43,239107.07,239058.99,239073.62,268
2026-09-02T14:35:00,239050.01,239183.7,239043.4,239151.75,228
2026-09-02T14:40:00,239163.48,239178.69,239070.69,239106.61,39
2026-09-02T14:45:00,239103.15,239163.58,239091.49,239133.0,308
2026-09-02T14:50:00,239126.85,239134.23,239072.94,239102.73,321
2026-09-02T14:55:00,239122.46,239180.44,239104.87,239154.24,377
2026-09-02T15:00:00,239153.51,239230.84,239148.82,239196.78,396
2026-09-02T15:05:00,239178.88,239236.73,239161.97,239211.11,73
2026-09-02T15:10:00,239214.19,239281.81,239203.94,239244.55,127
2026-09-02T15:15:00,239238.08,239316.31,239201.7,239281.98,14
2026-09-02T15:20:00,239272.01,239303.21,239248.78,239262.95,242
2026-09-02T15:25:00,239230.83,239264.81,239165.08,239196.62,179
2026-09-02T15:30:00,239205.86,239286.85,239174.72,239248.33,240
2026-09-02T15:35:00,239216.48,239271.33,239197.52,239251.64,26
2026-09-02T15:40:00,239270.17,239294.95,239262.65,239276.22,331
2026-09-02T15:45:00,239278.93,239322.97,239243.57,239287.78,189
2026-09-02T15:50:00,239295.35,239348.52,239290.9,239327.16,255
2026-09-02T15:55:00,239342.56,239376.27,239306.79,239316.99,137
2026-09-02T16:00:00,239312.79,239384.87,239306.2,239372.61,255
2026-09-02T16:05:00,239381.03,239389.01,239308.78,239333.59,114
2026-09-02T16:10:00,239357.16,239427.83,239350.52,239414.98,328
2026-09-02T16:15:00,239388.94,239412.72,239352.93,239405.2,81
2026-09-02T16:20:00,239427.47,239461.89,239389.39,239439.43,144
2026-09-02T16:25:00,239407.62,239448.09,239368.78,239417.32,78
2026-09-02T16:30:00,239430.06,239524.52,239415.64,239488.8,35
2026-09-02T16:35:00,239490.64,239521.67,239452.62,239482.38,195
2026-09-02T16:40:00,239467.94,239497.29,239428.48,239457.77,200
2026-09-02T16:45:00,239452.03,239490.46,239397.28,239432.31,239
2026-09-02T16:50:00,239429.51,239436.42,239383.86,239393.84,48
2026-09-02T16:55:00,239420.79,239461.36,239382.32,239429.67,316
2026-09-02T17:00:00,239451.17,239571.55,239443.77,239555.05,284
2026-09-02T17:05:00,239526.69,239536.53,239474.62,239496.59,128
2026-09-02T17:10:00,239454.75,239475.48,239359.64,239398.51,304
2026-09-02T17:15:00,239404.6,239424.42,239386.15,239407.84,223
2026-09-02T17:20:00,239384.34,239414.55,239300.01,239329.77,372
2026-09-02T17:25:00,239294.96,239323.69,239232.12,239265.61,176
2026-09-02T17:30:00,239261.98,239284.01,239180.47,239192.28,187
2026-09-02T17:35:00,239188.48,239200.02,239130.57,239165.48,150
2026-09-02T17:40:00,239180.75,239206.19,239124.16,239129.2,136
2026-09-02T17:45:00,239106.56,239138.92,239007.88,239030.87,350
2026-09-02T17:50:00,239021.11,239049.45,238947.72,238968.84,303
2026-09-02T17:55:00,238961.28,238992.77,238926.85,238972.91,246
2026-09-02T18:00:00,238967.77,239035.29,238944.01,239008.34,149
2026-09-02T18:05:00,239046.96,239063.76,238963.28,238986.61,19
2026-09-02T18:10:00,238958.18,239017.08,238934.8,238995.63,89
2026-09-02T18:15:00,239013.2,239032.96,238999.67,239004.61,361
2026-09-02T18:20:00,239026.98,239037.24,239000.63,239014.65,240
2026-09-02T18:25:00,239015.02,239047.41,238924.1,238931.46,72
2026-09-02T18:30:00,238917.4,238960.37,238896.24,238953.88,46
2026-09-02T18:35:00,238959.82,238997.63,238912.61,238927.88,271
2026-09-02T18:40:00,238926.81,238950.25,238861.1,238885.05,61
2026-09-02T18:45:00,238867.8,238896.36,238737.07,238757.27,376
2026-09-02T18:50:00,238782.28,238820.74,238760.44,238808.7,120
2026-09-02T18:55:00,238819.01,238846.04,238721.41,238758.46,49
2026-09-02T19:00:00,238806.01,238865.51,238791.29,238834.9,161
2026-09-02T19:05:00,238826.27,238836.86,238786.85,238808.39,97
2026-09-02T19:10:00,238808.05,238881.54,238776.28,238847.76,318
2026-09-02T19:15:00,238849.08,238919.29,238829.15,238903.77,374
2026-09-02T19:20:00,238923.06,238931.44,238818.07,238856.33,296
2026-09-02T19:25:00,238846.46,238909.53,238837.02,238897.66,262
2026-09-02T19:30:00,238893.01,238932.92,238827.07,238846.4,50
2026-09-02T19:35:00,238831.8,238869.38,238823.17,238848.83,275
2026-09-02T19:40:00,238823.49,238861.43,238798.8,238839.95,16
2026-09-02T19:45:00,238847.1,238878.46,238810.48,238858.22,345
2026-09-02T19:50:00,238825.05,238886.05,238795.45,238853.34,385
2026-09-02T19:55:00,238878.56,238906.56,238821.64,238840.84,202
2026-09-02T20:00:00,238824.38,238860.53,238811.28,238820.05,304
2026-09-02T20:05:00,238816.51,238907.35,238802.08,238872.7,37
2026-09-02T20:10:00,238882.7,238937.39,238872.69,238901.37,294
2026-09-02T20:15:00,238921.95,238944.62,238879.5,238899.75,338
2026-09-02T20:20:00,238917.26,238934.37,238848.14,238868.2,169
2026-09-02T20:25:00,238858.91,238888.29,238807.38,238816.42,338
2026-09-02T20:30:00,238804.91,238844.64,238744.14,238774.02,331
2026-09-02T20:35:00,238764.39,238790.22,238753.49,238762.35,272
2026-09-02T20:40:00,238755.04,238797.36,238732.49,238785.39,27
2026-09-02T20:45:00,238782.96,238801.1,238702.09,238736.3,194
2026-09-02T20:50:00,238737.91,238783.83,238700.14,238768.6,309
2026-09-02T20:55:00,238749.54,238865.68,238722.32,238835.13,266
2026-09-02T21:00:00,238839.08,238844.04,238796.37,238830.85,179
2026-09-02T21:05:00,238839.78,238881.94,238835.71,238844.55,94
2026-09-02T21:10:00,238839.12,238899.88,238826.0,238866.85,258
2026-09-02T21:15:00,238916.04,238960.72,238908.22,238939.99,116
2026-09-02T21:20:00,238961.32,238993.01,238939.12,238979.23,88
2026-09-02T21:25:00,238993.16,239029.68,238953.69,238962.79,50
2026-09-02T21:30:00,238931.84,238956.7,238879.17,238886.06,317
2026-09-02T21:35:00,238945.82,238953.35,238889.4,238902.17,314
2026-09-02T21:40:00,238930.97,238965.62,238898.58,238909.47,107
2026-09-02T21:45:00,238927.41,238938.87,238884.16,238913.92,256
2026-09-02T21:50:00,238910.01,238970.16,238893.48,238946.61,331
2026-09-02T21:55:00,238947.85,239006.39,238930.22,238982.2,371
2026-09-02T22:00:00,238988.73,239062.47,238958.82,239035.61,140
2026-09-02T22:05:00,239015.92,239045.3,238943.38,238958.55,238
2026-09-02T22:10:00,238996.13,239027.77,238984.17,239016.91,157
2026-09-02T22:15:00,239018.26,239056.81,238935.54,238971.65,196
2026-09-02T22:20:00,238966.8,238995.23,238948.03,238962.21,55
2026-09-02T22:25:00,238964.07,239001.78,238956.77,238963.57,34
2026-09-02T22:30:00,238984.72,239035.54,238952.3,238997.71,166
2026-09-02T22:35:00,238960.72,238995.24,238831.33,238857.68,187
2026-09-02T22:40:00,238848.53,238876.08,238778.93,238791.08,390
2026-09-02T22:45:00,238755.37,238786.21,238736.29,238758.73,23
2026-09-02T22:50:00,238751.99,238764.92,238684.25,238701.79,306
2026-09-02T22:55:00,238716.29,238724.25,238682.73,238695.17,48
2026-09-02T23:00:00,238682.89,238726.3,238676.09,238722.02,150
2026-09-02T23:05:00,238727.02,238758.09,238698.25,238732.56,353
2026-09-02T23:10:00,238739.1,238771.34,238644.36,238676.34,376
2026-09-02T23:15:00,238639.01,238662.31,238610.92,238624.78,88
2026-09-02T23:20:00,238619.72,238665.66,238584.72,238631.65,289
2026-09-02T23:25:00,238643.28,238699.35,238631.71,238664.46,129
2026-09-03T09:00:00,238694.08,238758.79,238678.85,238754.09,222
2026-09-03T09:05:00,238755.13,238825.03,238746.47,238812.12,202
2026-09-03T09:10:00,238810.98,238849.92,238713.75,238753.49,42
2026-09-03T09:15:00,238737.2,238761.12,238661.04,238669.65,224
2026-09-03T09:20:00,238663.8,238739.95,238630.03,238715.49,149
2026-09-03T09:25:00,238668.68,238719.0,238630.55,238705.5,41
2026-09-03T09:30:00,238702.6,238771.54,238691.84,238732.18,396
2026-09-03T09:35:00,238718.87,238744.72,238625.28,238663.22,10
2026-09-03T09:40:00,238663.29,238717.98,238653.19,238707.82,227
2026-09-03T09:45:00,238682.92,238704.3,238674.49,238678.87,374
2026-09-03T09:50:00,238677.91,238751.68,238651.34,238734.22,287
2026-09-03T09:55:00,238713.84,238739.06,238615.48,238634.92,298
2026-09-03T10:00:00,238623.5,238650.59,238557.58,238563.59,140
2026-09-03T10:05:00,238582.43,238607.84,238552.47,238602.04,205
2026-09-03T10:10:00,238580.74,238634.14,238560.22,238608.11,61
2026-09-03T10:15:00,238606.31,238691.9,238597.47,238656.4,399
