stream,sequential,parallel,seq_eq_par
in_memory_signals:gold_01,4eaac501f24ce8c9de7514aa9e64527c2bed41b3b200e2cfd84ffc6d293c4337,4eaac501f24ce8c9de7514aa9e64527c2bed41b3b200e2cfd84ffc6d293c4337,True
in_memory_signals:gold_02,97a13e9b817cb21109014db7b4e5de482e9750d314ad00f3ba627000ea3d396c,97a13e9b817cb21109014db7b4e5de482e9750d314ad00f3ba627000ea3d396c,True
in_memory_signals:silver_01,08998eff156e6c943b1ecffa9be87060004932308a2645ab95554a43a4c3bf1c,08998eff156e6c943b1ecffa9be87060004932308a2645ab95554a43a4c3bf1c,True
in_memory_signals:silver_02,b713f820eb592bd999c24f9162506af620ddb05763a61f4c60b4f2519eb6d923,b713f820eb592bd999c24f9162506af620ddb05763a61f4c60b4f2519eb6d923,True
crossover_events:gold_01,0578c61c6d5b3476211feabd0fb3a318b66a81a77aea1276b4bc8ca164bc0bc8,0578c61c6d5b3476211feabd0fb3a318b66a81a77aea1276b4bc8ca164bc0bc8,True
crossover_events:gold_02,e1aab3aa136f85a8ca0b9c9c809ea13d428557a6b1beed01c53cd64fc90e8af0,e1aab3aa136f85a8ca0b9c9c809ea13d428557a6b1beed01c53cd64fc90e8af0,True
crossover_events:silver_01,1c6d01df5c8af012af60cc48e0a49bac9b727d8cb1bcda29eaf9c3a7e2a79d14,1c6d01df5c8af012af60cc48e0a49bac9b727d8cb1bcda29eaf9c3a7e2a79d14,True
crossover_events:silver_02,afecf2cf79846d66b085ef86515518d4acf97f968ba051c986fa4bda6c9815b4,afecf2cf79846d66b085ef86515518d4acf97f968ba051c986fa4bda6c9815b4,True
trades:gold_01,2ab9e4ea8e8a07e4ac1e796dda80e12e890f67fa4fc2b75d04a97cdaeb75f297,2ab9e4ea8e8a07e4ac1e796dda80e12e890f67fa4fc2b75d04a97cdaeb75f297,True
trades:gold_02,f70efc712d5e23448f7869738edf56183da53970b8a8d0543cb356d18ebf17b4,f70efc712d5e23448f7869738edf56183da53970b8a8d0543cb356d18ebf17b4,True
trades:silver_01,fe4beb2fe04160221b7056e6c7e21cf2f0589f163b3b114e13614f1a3f0fa82f,fe4beb2fe04160221b7056e6c7e21cf2f0589f163b3b114e13614f1a3f0fa82f,True
trades:silver_02,b26c988fc63e3dc50c0a6f4e9116f0806095f6a367bbb52c50b04bcff5cee4d2,b26c988fc63e3dc50c0a6f4e9116f0806095f6a367bbb52c50b04bcff5cee4d2,True
