contract,duration,entry_execution_bar_ohlc,entry_execution_price,entry_execution_timestamp,entry_signal_bar_ohlc,entry_signal_id,entry_signal_timestamp,entry_trigger_price,exit_bar_ohlc,exit_execution_price,exit_execution_timestamp,exit_reason,exit_signal_id,exit_signal_timestamp,exit_type,fees,gross_pnl,metal,net_pnl,side,status,stop_loss,strategy_id,trade_id
569003 OCT,900.0,"{""open"": 77986.09, ""high"": 77992.65, ""low"": 77982.64, ""close"": 77988.98}",77986.09,2026-09-02 11:55:00,"{""open"": 77994.54, ""high"": 77998.04, ""low"": 77983.66, ""close"": 77986.27}",SIG-gold_01-000034,2026-09-02T11:50:00,77983.66,"{""open"": 78000.38, ""high"": 78002.03, ""low"": 77993.35, ""close"": 77996.6}",77996.6,2026-09-02T12:10:00,STOP_LOSS,,,EXIT_SHORT,174.88,-105.10000000009313,GOLDM,-279.9800000000931,SHORT,CLOSED,78001.0,gold_01,TRD-gold_01-000001
569003 OCT,2100.0,"{""open"": 78007.37, ""high"": 78008.26, ""low"": 78002.63, ""close"": 78004.77}",78007.37,2026-09-02 17:25:00,"{""open"": 78007.2, ""high"": 78010.91, ""low"": 78005.27, ""close"": 78007.56}",SIG-gold_01-000100,2026-09-02T17:20:00,78005.27,"{""open"": 78007.33, ""high"": 78012.85, ""low"": 78005.58, ""close"": 78009.4}",78009.4,2026-09-02T18:00:00,STOP_LOSS,,,EXIT_SHORT,174.91,-20.29999999998836,GOLDM,-195.20999999998836,SHORT,CLOSED,78012.77,gold_01,TRD-gold_01-000002
569003 OCT,71700.0,"{""open"": 78018.92, ""high"": 78021.55, ""low"": 78007.74, ""close"": 78011.16}",78018.92,2026-09-02 21:20:00,"{""open"": 78017.29, ""high"": 78020.29, ""low"": 78011.57, ""close"": 78015.38}",SIG-gold_01-000140,2026-09-02T20:40:00,78011.57,"{""open"": 78004.15, ""high"": 78005.05, ""low"": 77997.33, ""close"": 77999.83}",78004.15,2026-09-03T17:15:00,REVERSAL,SIG-gold_01-000272,2026-09-03T17:10:00,EXIT_SHORT,174.93,147.70000000004075,GOLDM,-27.22999999995926,SHORT,CLOSED,78024.22,gold_01,TRD-gold_01-000003
569003 OCT,600.0,"{""open"": 78004.49, ""high"": 78007.5, ""low"": 78002.21, ""close"": 78004.61}",78004.49,2026-09-03 17:25:00,"{""open"": 78001.54, ""high"": 78006.81, ""low"": 77999.36, ""close"": 78004.32}",SIG-gold_01-000272,2026-09-03T17:10:00,78006.81,"{""open"": 78001.63, ""high"": 78005.08, ""low"": 77995.38, ""close"": 77998.84}",77998.84,2026-09-03T17:35:00,STOP_LOSS,,,EXIT_LONG,174.9,-56.50000000008731,GOLDM,-231.40000000008732,LONG,CLOSED,77995.69,gold_01,TRD-gold_01-000004
569003 OCT,18600.0,"{""open"": 78006.52, ""high"": 78008.82, ""low"": 78003.92, ""close"": 78006.37}",78006.52,2026-09-03 18:05:00,"{""open"": 77998.0, ""high"": 78004.88, ""low"": 77994.26, ""close"": 78004.38}",SIG-gold_01-000282,2026-09-03T18:00:00,78004.88,"{""open"": 78015.77, ""high"": 78017.05, ""low"": 78012.4, ""close"": 78012.8}",78015.77,2026-09-03T23:15:00,REVERSAL,SIG-gold_01-000344,2026-09-03T23:10:00,EXIT_LONG,174.92,92.5,GOLDM,-82.41999999999999,LONG,CLOSED,77994.26,gold_01,TRD-gold_01-000005
569003 OCT,52200.0,"{""open"": 78010.53, ""high"": 78018.17, ""low"": 78008.34, ""close"": 78016.08}",78010.53,2026-09-03 23:20:00,"{""open"": 78018.92, ""high"": 78019.59, ""low"": 78010.67, ""close"": 78014.46}",SIG-gold_01-000344,2026-09-03T23:10:00,78010.67,"{""open"": 77988.72, ""high"": 77994.51, ""low"": 77984.82, ""close"": 77992.91}",77988.72,2026-09-04T13:50:00,REVERSAL,SIG-gold_01-000405,2026-09-04T13:45:00,EXIT_SHORT,174.91,218.09999999997672,GOLDM,43.18999999997672,SHORT,CLOSED,78026.39,gold_01,TRD-gold_01-000006
569003 OCT,28800.0,"{""open"": 77988.72, ""high"": 77994.51, ""low"": 77984.82, ""close"": 77992.91}",77988.72,2026-09-04 13:50:00,"{""open"": 77983.1, ""high"": 77990.42, ""low"": 77981.42, ""close"": 77989.89}",SIG-gold_01-000405,2026-09-04T13:45:00,77990.42,"{""open"": 77998.41, ""high"": 78007.37, ""low"": 77994.62, ""close"": 78003.58}",77998.41,2026-09-04T21:50:00,REVERSAL,SIG-gold_01-000501,2026-09-04T21:45:00,EXIT_LONG,174.9,96.90000000002328,GOLDM,-77.99999999997672,LONG,CLOSED,77977.81,gold_01,TRD-gold_01-000007
569003 OCT,,"{""open"": 77998.41, ""high"": 78007.37, ""low"": 77994.62, ""close"": 78003.58}",77998.41,2026-09-04 21:50:00,"{""open"": 78007.79, ""high"": 78010.21, ""low"": 77997.02, ""close"": 77999.26}",SIG-gold_01-000501,2026-09-04T21:45:00,77997.02,,,,,,,,,,GOLDM,,SHORT,OPEN,78018.9,gold_01,TRD-gold_01-000008
569003 OCT,1800.0,"{""open"": 78004.65, ""high"": 78006.89, ""low"": 77998.76, ""close"": 78003.26}",78004.65,2026-09-02 17:30:00,"{""open"": 78010.88, ""high"": 78012.77, ""low"": 78002.63, ""close"": 78004.77}",SIG-gold_02-000033,2026-09-02T17:15:00,78002.63,"{""open"": 78007.33, ""high"": 78020.53, ""low"": 78003.56, ""close"": 78015.98}",78015.98,2026-09-02T18:00:00,STOP_LOSS,,,EXIT_SHORT,174.91,-113.30000000001746,GOLDM,-288.21000000001743,SHORT,CLOSED,78020.31,gold_02,TRD-gold_02-000001
569003 OCT,72000.0,"{""open"": 78020.38, ""high"": 78023.64, ""low"": 78005.83, ""close"": 78006.31}",78020.38,2026-09-02 21:15:00,"{""open"": 78023.28, ""high"": 78027.03, ""low"": 78011.57, ""close"": 78015.38}",SIG-gold_02-000046,2026-09-02T20:30:00,78011.57,"{""open"": 78004.15, ""high"": 78007.5, ""low"": 77997.33, ""close"": 78004.61}",78004.15,2026-09-03T17:15:00,REVERSAL,SIG-gold_02-000090,2026-09-03T17:00:00,EXIT_SHORT,174.93,162.30000000010477,GOLDM,-12.629999999895233,SHORT,CLOSED,78035.44,gold_02,TRD-gold_02-000002
569003 OCT,21600.0,"{""open"": 78004.15, ""high"": 78007.5, ""low"": 77997.33, ""close"": 78004.61}",78004.15,2026-09-03 17:15:00,"{""open"": 77997.8, ""high"": 78006.81, ""low"": 77995.69, ""close"": 78004.32}",SIG-gold_02-000090,2026-09-03T17:00:00,78006.81,"{""open"": 78015.77, ""high"": 78018.17, ""low"": 78008.34, ""close"": 78010.48}",78015.77,2026-09-03T23:15:00,REVERSAL,SIG-gold_02-000114,2026-09-03T23:00:00,EXIT_LONG,174.92,116.20000000009895,GOLDM,-58.719999999901034,LONG,CLOSED,77987.63,gold_02,TRD-gold_02-000003
569003 OCT,53100.0,"{""open"": 78015.77, ""high"": 78018.17, ""low"": 78008.34, ""close"": 78010.48}",78015.77,2026-09-03 23:15:00,"{""open"": 78028.49, ""high"": 78031.49, ""low"": 78010.67, ""close"": 78014.46}",SIG-gold_02-000114,2026-09-03T23:00:00,78010.67,"{""open"": 77993.85, ""high"": 77997.44, ""low"": 77981.36, ""close"": 77984.53}",77993.85,2026-09-04T14:00:00,REVERSAL,SIG-gold_02-000135,2026-09-04T13:45:00,EXIT_SHORT,174.92,219.19999999998254,GOLDM,44.27999999998255,SHORT,CLOSED,78036.31,gold_02,TRD-gold_02-000004
