charges,created_at,entry_order_id,entry_price,entry_signal_id,entry_timestamp,exit_order_id,exit_price,exit_reason,exit_signal_id,exit_timestamp,exit_type,gross_pnl,id,instrument,multiplier,net_pnl,position_id,quantity,realized_pnl,security_id,side,status,strategy_id,trade_id,updated_at
174.88,2026-09-05 14:57:35,,77986.51,e41e55a1-a010-43d2-9c89-ffd0976e7370,2026-09-02T04:10:00+00:00,,77996.23,STOP_LOSS,,2026-09-02T05:40:00+00:00,,-97.20000000001164,1,GOLDM,10.0,-272.08000000001164,,1,,,SHORT,CLOSED,gold_01,3bb52fba-3e02-44c7-a541-447282a3e674,
174.89,2026-09-05 14:57:35,,77988.98,0c63b972-8a00-40de-80ee-1cd3fc967fb7,2026-09-02T06:25:00+00:00,,78006.96,STOP_LOSS,,2026-09-02T06:30:00+00:00,,-179.80000000010477,5,GOLDM,10.0,-354.69000000010476,,1,,,SHORT,CLOSED,gold_01,a0534015-9b7a-415c-976c-a93857198353,
174.92,2026-09-05 14:57:35,,78004.77,b24aed66-96a3-4bdf-bdb6-68105862e12e,2026-09-02T11:55:00+00:00,,78024.09,STOP_LOSS,,2026-09-02T12:30:00+00:00,,-193.19999999992433,9,GOLDM,10.0,-368.1199999999243,,1,,,SHORT,CLOSED,gold_01,584cecab-b234-4c1f-b14f-82f95a5de234,
174.91,2026-09-05 14:57:35,,78006.31,a67a5878-3259-45db-87bc-88d210295db5,2026-09-02T15:45:00+00:00,,77999.83,long_reversal,7a152f6c-99bb-4dc3-97c0-bef5cfc5db59,2026-09-03T11:45:00+00:00,,64.79999999995925,13,GOLDM,10.0,-110.11000000004074,,1,,,SHORT,CLOSED,gold_01,18b891a4-2f66-48f9-a730-c7d2cda33f4f,
174.9,2026-09-05 14:57:35,,78004.61,7a152f6c-99bb-4dc3-97c0-bef5cfc5db59,2026-09-03T11:55:00+00:00,,77998.84,STOP_LOSS,,2026-09-03T12:05:00+00:00,,-57.700000000040745,17,GOLDM,10.0,-232.60000000004075,,1,,,LONG,CLOSED,gold_01,f31ff2fd-996d-41aa-a76f-02632e7183d5,
174.92,2026-09-05 14:57:35,,78006.37,f35820a7-003d-4f34-bd94-61c8a1cd2cb6,2026-09-03T12:35:00+00:00,,78012.8,short_reversal,8aaf4e58-0ed7-4fd2-a06e-9425e6d7db3e,2026-09-03T17:45:00+00:00,,64.30000000007567,21,GOLDM,10.0,-110.61999999992432,,1,,,LONG,CLOSED,gold_01,ad4e1b29-5826-404d-872a-076963cff2e9,
174.92,2026-09-05 14:57:35,,78016.08,8aaf4e58-0ed7-4fd2-a06e-9425e6d7db3e,2026-09-03T17:50:00+00:00,,77992.91,long_reversal,97f6d8bc-e6ff-43aa-b25f-92c68612e63b,2026-09-04T08:20:00+00:00,,231.69999999998254,25,GOLDM,10.0,56.77999999998255,,1,,,SHORT,CLOSED,gold_01,4f9b58db-f541-4a11-9c77-185c6006501c,
174.9,2026-09-05 14:57:35,,77992.91,97f6d8bc-e6ff-43aa-b25f-92c68612e63b,2026-09-04T08:20:00+00:00,,78003.58,short_reversal,82c2ef54-eb13-4c89-aee1-591983b23219,2026-09-04T16:20:00+00:00,,106.69999999998254,29,GOLDM,10.0,-68.20000000001747,,1,,,LONG,CLOSED,gold_01,5899137f-8369-49ca-9133-1e3e448274b8,
0.0,2026-09-05 14:57:35,,78003.58,82c2ef54-eb13-4c89-aee1-591983b23219,2026-09-04T16:20:00+00:00,,0.0,,,0.0,,0.0,33,GOLDM,10.0,0.0,,1,,,SHORT,OPEN,gold_01,984b7d18-21bb-466f-bb48-e0c640d7c3f6,
174.89,2026-09-05 14:57:35,,77987.26,322c8f21-6bf9-44ed-b9ab-c585c46cb7a6,2026-09-02T04:15:00+00:00,,78004.77,STOP_LOSS,,2026-09-02T05:45:00+00:00,,-175.10000000009313,1,GOLDM,10.0,-349.9900000000931,,1,,,SHORT,CLOSED,gold_02,412b0174-49d7-4b22-a4e8-ac399a5abf24,
