trade_id,strategy_id,metal,contract,side,entry_signal_id,entry_signal_timestamp,entry_signal_bar_ohlc,entry_trigger_price,entry_execution_timestamp,entry_execution_price,entry_execution_bar_ohlc,stop_loss,exit_signal_id,exit_signal_timestamp,exit_type,exit_reason,exit_execution_timestamp,exit_execution_price,exit_bar_ohlc,gross_pnl,fees,net_pnl,duration,status
TRD-gold_01-000001,gold_01,GOLDM,569003 OCT,SHORT,SIG-gold_01-000034,2026-09-02T11:50:00,"{""open"": 77994.54, ""high"": 77998.04, ""low"": 77983.66, ""close"": 77986.27}",77983.66,2026-09-02 11:55:00,77986.09,"{""open"": 77986.09, ""high"": 77992.65, ""low"": 77982.64, ""close"": 77988.98}",78001.0,,,EXIT_SHORT,STOP_LOSS,2026-09-02T12:10:00,77996.6,"{""open"": 78000.38, ""high"": 78002.03, ""low"": 77993.35, ""close"": 77996.6}",-105.10000000009313,174.88,-279.9800000000931,900.0,CLOSED
TRD-gold_01-000002,gold_01,GOLDM,569003 OCT,SHORT,SIG-gold_01-000100,2026-09-02T17:20:00,"{""open"": 78007.2, ""high"": 78010.91, ""low"": 78005.27, ""close"": 78007.56}",78005.27,2026-09-02 17:25:00,78007.37,"{""open"": 78007.37, ""high"": 78008.26, ""low"": 78002.63, ""close"": 78004.77}",78012.77,,,EXIT_SHORT,STOP_LOSS,2026-09-02T18:00:00,78009.4,"{""open"": 78007.33, ""high"": 78012.85, ""low"": 78005.58, ""close"": 78009.4}",-20.29999999998836,174.91,-195.20999999998836,2100.0,CLOSED
TRD-gold_01-000003,gold_01,GOLDM,569003 OCT,SHORT,SIG-gold_01-000140,2026-09-02T20:40:00,"{""open"": 78017.29, ""high"": 78020.29, ""low"": 78011.57, ""close"": 78015.38}",78011.57,2026-09-02 21:20:00,78018.92,"{""open"": 78018.92, ""high"": 78021.55, ""low"": 78007.74, ""close"": 78011.16}",78024.22,SIG-gold_01-000272,2026-09-03T17:10:00,EXIT_SHORT,REVERSAL,2026-09-03T17:15:00,78004.15,"{""open"": 78004.15, ""high"": 78005.05, ""low"": 77997.33, ""close"": 77999.83}",147.70000000004075,174.93,-27.22999999995926,71700.0,CLOSED
TRD-gold_01-000004,gold_01,GOLDM,569003 OCT,LONG,SIG-gold_01-000272,2026-09-03T17:10:00,"{""open"": 78001.54, ""high"": 78006.81, ""low"": 77999.36, ""close"": 78004.32}",78006.81,2026-09-03 17:25:00,78004.49,"{""open"": 78004.49, ""high"": 78007.5, ""low"": 78002.21, ""close"": 78004.61}",77995.69,,,EXIT_LONG,STOP_LOSS,2026-09-03T17:35:00,77998.84,"{""open"": 78001.63, ""high"": 78005.08, ""low"": 77995.38, ""close"": 77998.84}",-56.50000000008731,174.9,-231.40000000008732,600.0,CLOSED
TRD-gold_01-000005,gold_01,GOLDM,569003 OCT,LONG,SIG-gold_01-000282,2026-09-03T18:00:00,"{""open"": 77998.0, ""high"": 78004.88, ""low"": 77994.26, ""close"": 78004.38}",78004.88,2026-09-03 18:05:00,78006.52,"{""open"": 78006.52, ""high"": 78008.82, ""low"": 78003.92, ""close"": 78006.37}",77994.26,SIG-gold_01-000344,2026-09-03T23:10:00,EXIT_LONG,REVERSAL,2026-09-03T23:15:00,78015.77,"{""open"": 78015.77, ""high"": 78017.05, ""low"": 78012.4, ""close"": 78012.8}",92.5,174.92,-82.41999999999999,18600.0,CLOSED
TRD-gold_01-000006,gold_01,GOLDM,569003 OCT,SHORT,SIG-gold_01-000344,2026-09-03T23:10:00,"{""open"": 78018.92, ""high"": 78019.59, ""low"": 78010.67, ""close"": 78014.46}",78010.67,2026-09-03 23:20:00,78010.53,"{""open"": 78010.53, ""high"": 78018.17, ""low"": 78008.34, ""close"": 78016.08}",78026.39,SIG-gold_01-000405,2026-09-04T13:45:00,EXIT_SHORT,REVERSAL,2026-09-04T13:50:00,77988.72,"{""open"": 77988.72, ""high"": 77994.51, ""low"": 77984.82, ""close"": 77992.91}",218.09999999997672,174.91,43.18999999997672,52200.0,CLOSED
TRD-gold_01-000007,gold_01,GOLDM,569003 OCT,LONG,SIG-gold_01-000405,2026-09-04T13:45:00,"{""open"": 77983.1, ""high"": 77990.42, ""low"": 77981.42, ""close"": 77989.89}",77990.42,2026-09-04 13:50:00,77988.72,"{""open"": 77988.72, ""high"": 77994.51, ""low"": 77984.82, ""close"": 77992.91}",77977.81,SIG-gold_01-000501,2026-09-04T21:45:00,EXIT_LONG,REVERSAL,2026-09-04T21:50:00,77998.41,"{""open"": 77998.41, ""high"": 78007.37, ""low"": 77994.62, ""close"": 78003.58}",96.90000000002328,174.9,-77.99999999997672,28800.0,CLOSED
TRD-gold_01-000008,gold_01,GOLDM,569003 OCT,SHORT,SIG-gold_01-000501,2026-09-04T21:45:00,"{""open"": 78007.79, ""high"": 78010.21, ""low"": 77997.02, ""close"": 77999.26}",77997.02,2026-09-04 21:50:00,77998.41,"{""open"": 77998.41, ""high"": 78007.37, ""low"": 77994.62, ""close"": 78003.58}",78018.9,,,,,,,,,,,,OPEN
TRD-gold_02-000001,gold_02,GOLDM,569003 OCT,SHORT,SIG-gold_02-000033,2026-09-02T17:15:00,"{""open"": 78010.88, ""high"": 78012.77, ""low"": 78002.63, ""close"": 78004.77}",78002.63,2026-09-02 17:30:00,78004.65,"{""open"": 78004.65, ""high"": 78006.89, ""low"": 77998.76, ""close"": 78003.26}",78020.31,,,EXIT_SHORT,STOP_LOSS,2026-09-02T18:00:00,78015.98,"{""open"": 78007.33, ""high"": 78020.53, ""low"": 78003.56, ""close"": 78015.98}",-113.30000000001746,174.91,-288.21000000001743,1800.0,CLOSED
TRD-gold_02-000002,gold_02,GOLDM,569003 OCT,SHORT,SIG-gold_02-000046,2026-09-02T20:30:00,"{""open"": 78023.28, ""high"": 78027.03, ""low"": 78011.57, ""close"": 78015.38}",78011.57,2026-09-02 21:15:00,78020.38,"{""open"": 78020.38, ""high"": 78023.64, ""low"": 78005.83, ""close"": 78006.31}",78035.44,SIG-gold_02-000090,2026-09-03T17:00:00,EXIT_SHORT,REVERSAL,2026-09-03T17:15:00,78004.15,"{""open"": 78004.15, ""high"": 78007.5, ""low"": 77997.33, ""close"": 78004.61}",162.30000000010477,174.93,-12.629999999895233,72000.0,CLOSED
TRD-gold_02-000003,gold_02,GOLDM,569003 OCT,LONG,SIG-gold_02-000090,2026-09-03T17:00:00,"{""open"": 77997.8, ""high"": 78006.81, ""low"": 77995.69, ""close"": 78004.32}",78006.81,2026-09-03 17:15:00,78004.15,"{""open"": 78004.15, ""high"": 78007.5, ""low"": 77997.33, ""close"": 78004.61}",77987.63,SIG-gold_02-000114,2026-09-03T23:00:00,EXIT_LONG,REVERSAL,2026-09-03T23:15:00,78015.77,"{""open"": 78015.77, ""high"": 78018.17, ""low"": 78008.34, ""close"": 78010.48}",116.20000000009895,174.92,-58.719999999901034,21600.0,CLOSED
TRD-gold_02-000004,gold_02,GOLDM,569003 OCT,SHORT,SIG-gold_02-000114,2026-09-03T23:00:00,"{""open"": 78028.49, ""high"": 78031.49, ""low"": 78010.67, ""close"": 78014.46}",78010.67,2026-09-03 23:15:00,78015.77,"{""open"": 78015.77, ""high"": 78018.17, ""low"": 78008.34, ""close"": 78010.48}",78036.31,SIG-gold_02-000135,2026-09-04T13:45:00,EXIT_SHORT,REVERSAL,2026-09-04T14:00:00,77993.85,"{""open"": 77993.85, ""high"": 77997.44, ""low"": 77981.36, ""close"": 77984.53}",219.19999999998254,174.92,44.27999999998255,53100.0,CLOSED
TRD-gold_02-000005,gold_02,GOLDM,569003 OCT,LONG,SIG-gold_02-000135,2026-09-04T13:45:00,"{""open"": 77983.1, ""high"": 77998.49, ""low"": 77981.42, ""close"": 77994.79}",77998.49,2026-09-04 14:30:00,77986.11,"{""open"": 77986.11, ""high"": 78002.41, ""low"": 77982.24, ""close"": 77999.31}",77971.33,SIG-gold_02-000167,2026-09-04T21:45:00,EXIT_LONG,REVERSAL,2026-09-04T22:00:00,78003.55,"{""open"": 78003.55, ""high"": 78008.11, ""low"": 77998.55, ""close"": 78006.43}",174.40000000002328,174.9,-0.4999999999767226,27000.0,CLOSED
TRD-gold_02-000006,gold_02,GOLDM,569003 OCT,SHORT,SIG-gold_02-000170,2026-09-04T22:30:00,"{""open"": 78004.59, ""high"": 78005.85, ""low"": 77995.27, ""close"": 77999.17}",77995.27,2026-09-04 22:45:00,77999.91,"{""open"": 77999.91, ""high"": 78008.55, ""low"": 77992.36, ""close"": 78001.23}",78011.84,,,EXIT_SHORT,STOP_LOSS,2026-09-04T23:15:00,78004.12,"{""open"": 78004.26, ""high"": 78015.1, ""low"": 78001.83, ""close"": 78004.12}",-42.09999999991851,174.9,-216.99999999991851,1800.0,CLOSED
